imu,kinematic,lag,corr
acc_x,r_asis_y,-33,0.6630831471182546
acc_x,r_knee_1_y,-71,0.5543908542883689
acc_x,r_should_y,-30,0.544684642712539
acc_x,r_heel_y,14,0.5060016334016493
acc_x,l_heel_y,20,0.48821230345126293
acc_x,r_mall_y,12,0.472001172943259
acc_x,l_mall_y,16,0.4409620002606586
acc_x,r_force_z,12,-0.47784804044752666
acc_x,l_knee_1_y,85,-0.6160678603403188
acc_y,r_force_x,-81,0.703682837947581
acc_y,l_mall_y,54,0.6941923184896499
acc_y,l_heel_y,52,0.6765526281424766
acc_y,r_force_y,-75,0.6466304706324176
acc_y,r_met_x,-84,0.5720720656770314
acc_y,r_mall_x,-90,0.5058975924442233
acc_y,l_knee_1_y,-31,0.4960857005120187
acc_y,r_heel_x,-94,0.48282317012243386
acc_y,MIDASIS_y,54,-0.4091107439155478
acc_y,PO_y,54,-0.4091107439155478
acc_y,r_asis_y,69,-0.5243786886603532
acc_y,l_force_y,-73,-0.5882552694598738
acc_y,r_knee_1_y,-43,-0.5886814072960412
acc_y,r_should_y,87,-0.5911707147964861
acc_y,r_mall_y,53,-0.8273700830027375
acc_y,r_heel_y,55,-0.8286648142990709
acc_z,c7_y,34,0.863062757334248
acc_z,SHO_y,31,0.7916446792458065
acc_z,MIDASIS_y,33,0.7909712169919202
acc_z,PO_y,33,0.7909712169919202
acc_z,l_asis_y,36,0.7582801563275766
acc_z,r_asis_y,33,0.7354504870844621
acc_z,sacrum_s_y,35,0.7036167147775859
acc_z,r_should_y,34,0.6257461756243992
acc_z,l_should_y,29,0.6189070453786082
acc_z,l_knee_1_y,13,0.6083608325497688
acc_z,l_heel_y,94,0.5313870179597464
acc_z,l_mall_y,90,0.49238906918239017
acc_z,r_force_z,-59,0.48577157264613047
acc_z,r_knee_1_y,3,0.446579069482885
acc_z,r_mall_y,-62,-0.4044309381542865
acc_z,r_heel_y,-61,-0.4422385838325392
ang_acc_gyro_x,r_heel_y,37,0.6546701173444872
ang_acc_gyro_x,r_mall_y,35,0.6374093709154434
ang_acc_gyro_x,l_force_y,-96,0.6351673818461184
ang_acc_gyro_x,l_knee_1_y,96,0.4359780444585576
ang_acc_gyro_x,r_should_y,69,0.4214034485352232
ang_acc_gyro_x,r_asis_y,0,0.40231718224889684
ang_acc_gyro_x,l_heel_y,39,-0.517768343443174
ang_acc_gyro_x,l_mall_y,40,-0.5195366096520728
ang_acc_gyro_x,r_knee_1_y,90,-0.5568805236253899
ang_acc_gyro_y,MIDASIS_y,98,0.7494001359940319
ang_acc_gyro_y,PO_y,98,0.7494001359940319
ang_acc_gyro_y,SHO_y,98,0.7475303733668085
ang_acc_gyro_y,r_asis_y,98,0.7330760355449335
ang_acc_gyro_y,l_asis_y,99,0.687543482640109
ang_acc_gyro_y,l_knee_1_y,94,0.5968085524332367
ang_acc_gyro_y,l_should_y,94,0.4919240335248989
ang_acc_gyro_y,r_force_z,27,0.49181946266844334
ang_acc_gyro_y,l_mall_y,21,-0.5878154628012646
ang_acc_gyro_y,l_heel_y,25,-0.6258204009040924
ang_acc_gyro_z,l_heel_y,-12,0.6216787400950422
ang_acc_gyro_z,l_mall_y,-10,0.6193688078495742
ang_acc_gyro_z,l_knee_1_y,-91,0.4846913373146889
ang_acc_gyro_z,l_force_z,74,0.45576211700580754
ang_acc_gyro_z,r_asis_y,36,-0.4509272203333844
ang_acc_gyro_z,r_force_z,64,-0.4575576580303946
ang_acc_gyro_z,r_heel_y,-10,-0.4709373517295912
ang_acc_gyro_z,r_mall_y,-13,-0.4711645651650329
