Variable Pair,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Index
acc_x_r_asis_y_pca,0.44929146905165784,1984.0099144996586,0.9284780284157984
acc_x_r_should_y_pca,0.4710290823161158,1990.0422186756462,0.8730330761346833
acc_x_r_heel_y_pca,0.5695831457851982,2785.492220268645,0.5865657334751817
acc_x_l_heel_y_pca,0.5745300902303018,2548.9678303495675,0.5697128198068055
acc_x_r_mall_y_pca,0.5649000024106084,2524.1922719563254,0.6088761463543231
acc_x_l_mall_y_pca,0.5710476695795332,2402.2881259388673,0.5936635445849282
acc_x_r_force_z_pca,0.5331253132573686,1779.4377061305465,0.6516687859938929
acc_x_MIDASIS_y_pca,0.44073896850022315,1977.3532041579715,0.9136401407934159
acc_x_PO_y_pca,0.44073896850022315,1977.3532041579715,0.9136401407934159
acc_x_l_asis_y_pca,0.4529779930579387,2218.5964040078934,0.8371712929049796
acc_x_SHO_y_pca,0.4657847163743176,2160.6477491551063,0.8897518038436201
acc_x_c7_y_pca,0.46298694099607024,1933.727786223848,0.9037899353521048
acc_y_r_force_x_pca,0.5866173446802312,2531.8369390407092,0.538621380176885
acc_y_l_mall_y_pca,0.5576176943253079,2035.8761192144718,0.6211934872042408
acc_y_l_heel_y_pca,0.5666843450001715,2243.908068254881,0.5759600526614844
acc_y_r_force_y_pca,0.48930278877871475,2646.7181961617725,0.7814731141857689
acc_y_l_knee_1_y_pca,0.5619483768403739,2009.6067436053656,0.5805768147031704
acc_y_r_knee_1_y_pca,0.5360954211794684,2346.798280993037,0.5689195619495006
acc_y_r_mall_y_pca,0.4354974315797272,1516.9590498523598,0.7883136191837319
acc_y_r_heel_y_pca,0.6238226020986927,1813.4474763821686,0.7411668063535375
acc_z_c7_y_pca,0.5097747893939205,2139.530681564146,0.8471426751195134
acc_z_SHO_y_pca,0.4754117310911333,2597.267307988715,0.8367305936522395
acc_z_MIDASIS_y_pca,0.43838408157597936,2044.2224100979615,0.9388919062320751
acc_z_PO_y_pca,0.43838408157597936,2044.2224100979615,0.9388919062320751
acc_z_l_asis_y_pca,0.4591152661003873,2331.8343217668566,0.8617653324146622
acc_z_r_asis_y_pca,0.41866391471512504,1559.57185285797,1.0590880733979138
acc_z_sacrum_s_y_pca,0.48899680135490553,1778.5361944801066,0.8093717178351602
acc_z_r_should_y_pca,0.4422167675045912,1877.6658927842166,0.9323060984832781
acc_z_l_should_y_pca,0.4392791167829924,1540.740074173983,0.9287816907141151
acc_z_l_knee_1_y_pca,0.437819122457031,2190.164837081358,0.8346860548394591
acc_z_r_knee_1_y_pca,0.5039340728478936,3398.3540316360604,0.6682442893136747
ang_acc_gyro_x_r_heel_y_pca,0.5187727777190284,1990.3011368660596,0.6889930130858977
ang_acc_gyro_x_r_mall_y_pca,0.48586801182934464,1683.3723908431984,0.728308636088923
ang_acc_gyro_x_r_asis_y_pca,0.40821425530597005,1450.0777400870165,0.8919113881203139
ang_acc_gyro_x_l_heel_y_pca,0.529792469362397,2096.1219357892223,0.6720039092479677
ang_acc_gyro_y_c7_y_pca,0.4594039442973091,1863.425271894018,0.8139700025944312
ang_acc_gyro_y_l_asis_y_pca,0.4328202740651753,1858.1471620949167,0.916065516132449
ang_acc_gyro_y_sacrum_s_y_pca,0.46832511190721465,1783.124398718389,0.8063262016825585
ang_acc_gyro_y_r_force_z_pca,0.5463531513843219,1507.0109112270593,0.6146715177876646
ang_acc_gyro_y_l_mall_y_pca,0.38777302932612356,1070.441943669364,0.9528170450224462
ang_acc_gyro_y_l_heel_y_pca,0.431022325141274,1309.6558793941704,0.8896400907349958
ang_acc_gyro_z_l_heel_y_pca,0.48076399410639886,1752.268370517043,0.774401642559223
ang_acc_gyro_z_l_mall_y_pca,0.42864738540034475,1401.088770585501,0.8639614963210706
ang_acc_gyro_z_r_heel_y_pca,0.5375381501908114,2479.181654161648,0.6162622178673006
ang_acc_gyro_z_r_mall_y_pca,0.5274542506330341,2012.2533516486649,0.6267305675823227
gyro_x_r_knee_1_y_pca,0.484641527294506,1981.1779515137086,0.6742555689810704
gyro_x_l_force_z_pca,0.46146308588399937,1364.3873045167563,0.7479096908941298
gyro_x_r_met_y_pca,0.49546967943089065,1941.111940164275,0.7794265202543045
gyro_x_l_force_y_pca,0.49929915179682793,1886.7043290234137,0.7303978535900404
gyro_x_r_met_z_pca,0.4817578121493785,2121.913090244031,0.8030134075081009
gyro_x_r_heel_x_pca,0.5462325298408567,2201.8290113681223,0.7021303377266049
gyro_x_r_mall_x_pca,0.5433731455893425,2334.3202098887555,0.7450087213035669
gyro_x_r_met_x_pca,0.5821701605909988,2738.535492309148,0.5896051991764101
gyro_x_l_met_y_pca,0.4789404660302865,1954.209861941328,0.7391380547263396
