;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
gyro_x;r_knee_1_y;;;;;;;;;;;;;;;;;;;;;;
gyro_y;l_knee_1_y;r_asis_y;;;;;;;;;;;;;;;;;;;;;
roll;r_heel_y;r_mall_y;;;;;;;;;;;;;;;;;;;;;
pitch;l_knee_1_y;;;;;;;;;;;;;;;;;;;;;;
yaw;l_heel_y;l_mall_y;r_heel_y;r_mall_y;;;;;;;;;;;;;;;;;;;
vel_x;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_x;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_z;l_met_z;l_should_z;r_asis_z;r_heel_x;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_x;r_mall_z;r_met_z;r_should_z;sacrum_s_z
vel_y;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_z;l_knee_1_z;l_mall_z;l_met_z;l_should_z;r_asis_z;r_knee_1_z;r_should_z;sacrum_s_z;;;;;;;;;
vel_z;MIDASIS_z;PO_z;SHO_z;c7_z;l_asis_z;l_heel_z;l_knee_1_x;l_knee_1_z;l_mall_x;l_mall_z;l_met_z;l_should_z;r_asis_z;r_heel_x;r_heel_z;r_knee_1_x;r_knee_1_z;r_mall_x;r_mall_z;r_met_z;r_should_z;sacrum_s_z;
mag_gyro;r_knee_1_y;;;;;;;;;;;;;;;;;;;;;;
