group,imu,point,corr
upper_legs,gyro_x,r_knee_1_y,0.7629365274004709
trunk,gyro_y,r_asis_y,-0.7090330143071691
upper_legs,gyro_y,l_knee_1_y,-0.7288435118331739
upper_legs,mag_gyro,r_knee_1_y,0.8589438512903852
upper_legs,pitch,l_knee_1_y,-0.8528743124963328
lower_legs,roll,r_mall_y,-0.7859214938621351
feet,roll,r_heel_y,-0.8163049576865749
head_neck,vel_x,c7_z,0.9995739412508275
trunk,vel_x,sacrum_s_z,0.9995471429195417
upper_body,vel_x,l_should_z,0.9993966171141573
upper_legs,vel_x,r_knee_1_z,0.992209216202741
upper_legs,vel_x,l_knee_1_z,0.990504004899097
additional_points,vel_x,SHO_z,0.9885844345246315
upper_body,vel_x,r_should_z,0.9885213346499204
trunk,vel_x,r_asis_z,0.9882962161891611
trunk,vel_x,MIDASIS_z,0.9854261078740848
additional_points,vel_x,PO_z,0.9854261078740848
trunk,vel_x,l_asis_z,0.9854025973717956
lower_legs,vel_x,r_mall_z,0.9616902580875193
lower_legs,vel_x,l_mall_z,0.9612971511912297
feet,vel_x,r_heel_z,0.960409245987004
feet,vel_x,l_heel_z,0.9592518712236353
feet,vel_x,l_met_z,0.94167549776807
feet,vel_x,r_met_z,0.9400000106675148
feet,vel_x,l_heel_x,-0.707001410932838
lower_legs,vel_x,l_mall_x,-0.7142692784412119
feet,vel_x,r_heel_x,-0.7286534426532124
lower_legs,vel_x,r_mall_x,-0.7291665413500712
upper_legs,vel_x,l_knee_1_x,-0.7496672649067254
upper_legs,vel_x,r_knee_1_x,-0.816868546375994
feet,vel_y,l_heel_z,0.9147838222676056
lower_legs,vel_y,l_mall_z,0.9128339487844607
feet,vel_y,l_met_z,0.9076383126746372
upper_legs,vel_y,l_knee_1_z,0.8560507044414634
trunk,vel_y,sacrum_s_z,0.7912596670627545
head_neck,vel_y,c7_z,0.7847910767929407
upper_body,vel_y,r_should_z,0.7815065440902829
trunk,vel_y,r_asis_z,0.7813736621208832
trunk,vel_y,l_asis_z,0.7802500349700674
trunk,vel_y,MIDASIS_z,0.7794952024168574
additional_points,vel_y,PO_z,0.7794952024168574
upper_body,vel_y,l_should_z,0.7769998134959483
additional_points,vel_y,SHO_z,0.7740899558883274
upper_legs,vel_y,r_knee_1_z,0.7204339865932412
upper_legs,vel_z,r_knee_1_x,0.8194306388568392
upper_legs,vel_z,l_knee_1_x,0.713894500693947
feet,vel_z,r_heel_x,0.7076639316794107
lower_legs,vel_z,r_mall_x,0.7075557780889885
lower_legs,vel_z,l_mall_x,0.7019618435560443
feet,vel_z,r_met_z,-0.9250777309781902
feet,vel_z,l_met_z,-0.9273843327687225
feet,vel_z,l_heel_z,-0.9463168364767943
feet,vel_z,r_heel_z,-0.9474626609303668
lower_legs,vel_z,l_mall_z,-0.9486301902576603
lower_legs,vel_z,r_mall_z,-0.948738660437191
trunk,vel_z,l_asis_z,-0.980255005419522
trunk,vel_z,MIDASIS_z,-0.9804179609266063
additional_points,vel_z,PO_z,-0.9804179609266063
additional_points,vel_z,SHO_z,-0.9824250907503139
upper_body,vel_z,r_should_z,-0.9825315565517353
trunk,vel_z,r_asis_z,-0.9834103827127736
upper_legs,vel_z,l_knee_1_z,-0.986869876260753
upper_legs,vel_z,r_knee_1_z,-0.9872478299002675
upper_body,vel_z,l_should_z,-0.9922275738877361
head_neck,vel_z,c7_z,-0.9925233515009834
trunk,vel_z,sacrum_s_z,-0.9930801079930069
lower_legs,yaw,l_mall_y,0.8678558899093585
feet,yaw,l_heel_y,0.8634218398213347
lower_legs,yaw,r_mall_y,-0.7699808057481706
feet,yaw,r_heel_y,-0.7700990603360277
