imu,kinematic,lag,corr
acc_x,r_asis_y,-33,0.6630831471182546
acc_x,r_should_y,-30,0.544684642712539
acc_x,r_heel_y,14,0.5060016334016493
acc_x,l_heel_y,20,0.48821230345126293
acc_x,r_mall_y,12,0.472001172943259
acc_x,l_mall_y,16,0.4409620002606586
acc_x,r_force_z,12,-0.47784804044752666
acc_x,MIDASIS_y,100,-0.7219886156526406
acc_x,PO_y,100,-0.7219886156526406
acc_x,l_asis_y,100,-0.7243611642031388
acc_x,SHO_y,100,-0.7408280412601878
acc_x,c7_y,100,-0.8163563442618487
acc_y,r_force_x,-81,0.703682837947581
acc_y,l_mall_y,54,0.6941923184896499
acc_y,l_heel_y,52,0.6765526281424766
acc_y,r_force_y,-75,0.6466304706324176
acc_y,l_knee_1_y,-31,0.4960857005120187
acc_y,r_knee_1_y,-43,-0.5886814072960412
acc_y,r_mall_y,53,-0.8273700830027375
acc_y,r_heel_y,55,-0.8286648142990709
acc_z,c7_y,34,0.863062757334248
acc_z,SHO_y,31,0.7916446792458065
acc_z,MIDASIS_y,33,0.7909712169919202
acc_z,PO_y,33,0.7909712169919202
acc_z,l_asis_y,36,0.7582801563275766
acc_z,r_asis_y,33,0.7354504870844621
acc_z,sacrum_s_y,35,0.7036167147775859
acc_z,r_should_y,34,0.6257461756243992
acc_z,l_should_y,29,0.6189070453786082
acc_z,l_knee_1_y,13,0.6083608325497688
acc_z,r_knee_1_y,3,0.446579069482885
ang_acc_gyro_x,r_heel_y,37,0.6546701173439633
ang_acc_gyro_x,r_mall_y,35,0.637409370914908
ang_acc_gyro_x,r_asis_y,0,0.4023171822481799
ang_acc_gyro_x,l_heel_y,39,-0.5177683434429431
ang_acc_gyro_y,c7_y,100,0.8035442901639434
ang_acc_gyro_y,l_asis_y,99,0.6875434826402093
ang_acc_gyro_y,sacrum_s_y,100,0.6498627969590001
ang_acc_gyro_y,r_force_z,27,0.49181946266909105
ang_acc_gyro_y,l_mall_y,21,-0.5878154628018143
ang_acc_gyro_y,l_heel_y,25,-0.6258204009046291
ang_acc_gyro_z,l_heel_y,-12,0.6216787400956733
ang_acc_gyro_z,l_mall_y,-10,0.6193688078501802
ang_acc_gyro_z,r_heel_y,-10,-0.4709373517296827
ang_acc_gyro_z,r_mall_y,-13,-0.4711645651651152
gyro_x,r_knee_1_y,9,0.7686841578729341
gyro_x,l_force_z,-77,0.7459898281828061
gyro_x,r_met_y,-39,0.6843021120548312
gyro_x,l_force_y,100,0.6352182832753993
gyro_x,r_met_z,-35,0.43476146775815316
gyro_x,r_heel_x,-4,-0.45484892413775707
gyro_x,r_mall_x,0,-0.47635269915426615
gyro_x,r_met_x,-11,-0.5693589841699599
gyro_x,l_met_y,92,-0.586439822172001
gyro_x,l_knee_1_y,22,-0.6500466088814287
gyro_x,r_force_x,100,-0.781956631572794
gyro_x,r_force_y,100,-0.8163824615503608
gyro_y,l_should_y,25,-0.5273788705378212
gyro_y,r_force_z,-57,-0.6675773853510801
gyro_y,l_asis_y,28,-0.69191373866359
gyro_y,r_should_y,20,-0.7288466788015743
gyro_y,r_asis_y,18,-0.7578460964884122
gyro_y,MIDASIS_y,23,-0.7582178071509469
gyro_y,PO_y,23,-0.7582178071509469
gyro_y,l_knee_1_y,17,-0.7668739384230068
gyro_y,sacrum_s_y,29,-0.7703552420079262
gyro_y,SHO_y,23,-0.7845836931241941
gyro_y,c7_y,29,-0.8317547793975439
gyro_z,r_force_y,71,0.8662282216852666
gyro_z,r_force_x,64,0.8421319964525265
gyro_z,l_knee_1_y,-25,0.7534263313017738
gyro_z,l_met_y,45,0.6569393559936039
gyro_z,r_met_x,0,0.4341691555414602
gyro_z,r_mall_x,0,0.4130632632461303
gyro_z,l_force_z,-14,-0.4965895172553235
gyro_z,r_knee_1_y,-35,-0.6350055927413789
gyro_z,r_met_y,41,-0.6572886223712088
mag_acc,l_heel_y,18,0.5169404310083467
mag_acc,r_heel_y,12,0.48488038717027626
mag_acc,l_mall_y,14,0.4709863137754545
mag_acc,r_mall_y,11,0.451564598663142
mag_acc,r_force_z,13,-0.4865231463152611
mag_acc,r_should_y,100,-0.5456546605748893
mag_acc,r_asis_y,100,-0.66676279881215
mag_acc,l_asis_y,100,-0.7288559792433926
mag_acc,MIDASIS_y,100,-0.7313683604317763
mag_acc,PO_y,100,-0.7313683604317763
mag_acc,SHO_y,100,-0.7523888746921364
mag_acc,c7_y,100,-0.8282914418431297
