Item,Method,Num Clusters,Silhouette Score
acc_x_r_asis_y_pca_shift,pca_shift,3,0.47989609740144373
acc_x_r_should_y_pca_shift,pca_shift,3,0.5018417123368693
acc_x_r_heel_y_pca_shift,pca_shift,3,0.5641944104403602
acc_x_l_heel_y_pca_shift,pca_shift,3,0.5676573776838757
acc_x_r_mall_y_pca_shift,pca_shift,3,0.5625806469077411
acc_x_l_mall_y_pca_shift,pca_shift,3,0.5664005208548009
acc_x_r_force_z_pca_shift,pca_shift,3,0.5481554091533362
acc_x_MIDASIS_y_pca_shift,pca_shift,3,0.4291081937093504
acc_x_PO_y_pca_shift,pca_shift,3,0.4291081937093504
acc_x_l_asis_y_pca_shift,pca_shift,3,0.4177926506183652
acc_x_SHO_y_pca_shift,pca_shift,3,0.43506149367922714
acc_x_c7_y_pca_shift,pca_shift,3,0.4388788588302595
acc_y_r_force_x_pca_shift,pca_shift,3,0.588517695823073
acc_y_l_mall_y_pca_shift,pca_shift,3,0.5270295842194054
acc_y_l_heel_y_pca_shift,pca_shift,3,0.5407265698433913
acc_y_r_force_y_pca_shift,pca_shift,3,0.5747829279875584
acc_y_l_knee_1_y_pca_shift,pca_shift,3,0.5020892670476637
acc_y_r_knee_1_y_pca_shift,pca_shift,3,0.46367466501359
acc_y_r_mall_y_pca_shift,pca_shift,3,0.5931776695105722
acc_y_r_heel_y_pca_shift,pca_shift,3,0.5814214934682952
acc_z_c7_y_pca_shift,pca_shift,3,0.49681496975016376
acc_z_SHO_y_pca_shift,pca_shift,3,0.48078820934259103
acc_z_MIDASIS_y_pca_shift,pca_shift,3,0.45929959302992995
acc_z_PO_y_pca_shift,pca_shift,3,0.45929959302992995
acc_z_l_asis_y_pca_shift,pca_shift,3,0.43787020139842353
acc_z_r_asis_y_pca_shift,pca_shift,3,0.48339210180652703
acc_z_sacrum_s_y_pca_shift,pca_shift,3,0.4699777136482193
acc_z_r_should_y_pca_shift,pca_shift,3,0.5034898302931733
acc_z_l_should_y_pca_shift,pca_shift,3,0.4530041709699321
acc_z_l_knee_1_y_pca_shift,pca_shift,3,0.4494688745795327
acc_z_r_knee_1_y_pca_shift,pca_shift,3,0.5041247519847044
ang_acc_gyro_x_r_heel_y_pca_shift,pca_shift,3,0.5674532956892172
ang_acc_gyro_x_r_mall_y_pca_shift,pca_shift,3,0.5432313458320969
ang_acc_gyro_x_r_asis_y_pca_shift,pca_shift,3,0.4082142553064974
ang_acc_gyro_x_l_heel_y_pca_shift,pca_shift,3,0.5487531748968845
ang_acc_gyro_y_c7_y_pca_shift,pca_shift,3,0.46150794508516313
ang_acc_gyro_y_l_asis_y_pca_shift,pca_shift,3,0.42383482180365334
ang_acc_gyro_y_sacrum_s_y_pca_shift,pca_shift,3,0.45342545711883303
ang_acc_gyro_y_r_force_z_pca_shift,pca_shift,3,0.5570766726017102
ang_acc_gyro_y_l_mall_y_pca_shift,pca_shift,3,0.5300772228861105
ang_acc_gyro_y_l_heel_y_pca_shift,pca_shift,3,0.5223174046451502
ang_acc_gyro_z_l_heel_y_pca_shift,pca_shift,3,0.46008610895601126
ang_acc_gyro_z_l_mall_y_pca_shift,pca_shift,3,0.41987629519378855
ang_acc_gyro_z_r_heel_y_pca_shift,pca_shift,3,0.5153938608066344
ang_acc_gyro_z_r_mall_y_pca_shift,pca_shift,3,0.5027150295172788
gyro_x_r_knee_1_y_pca_shift,pca_shift,3,0.47693026134836836
gyro_x_l_force_z_pca_shift,pca_shift,3,0.5156769429023069
gyro_x_r_met_y_pca_shift,pca_shift,3,0.4749319646171624
gyro_x_l_force_y_pca_shift,pca_shift,3,0.4963224453186107
gyro_x_r_met_z_pca_shift,pca_shift,3,0.5004398706518668
gyro_x_r_heel_x_pca_shift,pca_shift,3,0.4240598239184339
gyro_x_r_mall_x_pca_shift,pca_shift,3,0.5433731455893425
gyro_x_r_met_x_pca_shift,pca_shift,3,0.580037674280971
gyro_x_l_met_y_pca_shift,pca_shift,3,0.5821009759710452
gyro_x_l_knee_1_y_pca_shift,pca_shift,3,0.4623634858852545
gyro_x_r_force_x_pca_shift,pca_shift,3,0.5303344477292143
gyro_x_r_force_y_pca_shift,pca_shift,3,0.6218766726565301
gyro_y_l_should_y_pca_shift,pca_shift,3,0.4024303749058817
gyro_y_r_force_z_pca_shift,pca_shift,3,0.5299205964607475
gyro_y_l_asis_y_pca_shift,pca_shift,3,0.39753923277770903
gyro_y_r_should_y_pca_shift,pca_shift,3,0.49474814936001443
gyro_y_r_asis_y_pca_shift,pca_shift,3,0.4700424495907142
gyro_y_MIDASIS_y_pca_shift,pca_shift,3,0.4072664865452853
gyro_y_PO_y_pca_shift,pca_shift,3,0.4072664865452853
gyro_y_l_knee_1_y_pca_shift,pca_shift,3,0.45260252613174556
gyro_y_sacrum_s_y_pca_shift,pca_shift,3,0.434477362116072
gyro_y_SHO_y_pca_shift,pca_shift,3,0.4211868161533459
gyro_y_c7_y_pca_shift,pca_shift,3,0.43849280955940967
gyro_z_r_force_y_pca_shift,pca_shift,3,0.6246374398886432
gyro_z_r_force_x_pca_shift,pca_shift,3,0.5208137946945097
gyro_z_l_knee_1_y_pca_shift,pca_shift,3,0.46632039902391187
gyro_z_l_met_y_pca_shift,pca_shift,3,0.5455369583629635
gyro_z_r_met_x_pca_shift,pca_shift,3,0.6321978967289853
gyro_z_r_mall_x_pca_shift,pca_shift,3,0.5189988967604791
gyro_z_l_force_z_pca_shift,pca_shift,3,0.41469585196966935
gyro_z_r_knee_1_y_pca_shift,pca_shift,3,0.5330253287726234
gyro_z_r_met_y_pca_shift,pca_shift,3,0.5756461623481526
mag_acc_l_heel_y_pca_shift,pca_shift,3,0.5694917120804994
mag_acc_r_heel_y_pca_shift,pca_shift,3,0.5720686654744168
mag_acc_l_mall_y_pca_shift,pca_shift,3,0.5684082734884452
mag_acc_r_mall_y_pca_shift,pca_shift,3,0.5689535148774362
mag_acc_r_force_z_pca_shift,pca_shift,3,0.5502785262290442
mag_acc_r_should_y_pca_shift,pca_shift,3,0.41944843763025164
mag_acc_r_asis_y_pca_shift,pca_shift,3,0.4803072665239669
mag_acc_l_asis_y_pca_shift,pca_shift,3,0.4315487902010882
mag_acc_MIDASIS_y_pca_shift,pca_shift,3,0.43958639794697796
mag_acc_PO_y_pca_shift,pca_shift,3,0.43958639794697796
mag_acc_SHO_y_pca_shift,pca_shift,3,0.4500957837760818
mag_acc_c7_y_pca_shift,pca_shift,3,0.4390802977575968
mag_gyro_r_knee_1_y_pca_shift,pca_shift,3,0.6667911652722001
mag_gyro_l_force_z_pca_shift,pca_shift,3,0.5236326866056871
mag_gyro_r_met_y_pca_shift,pca_shift,3,0.5393281164859783
mag_gyro_r_met_z_pca_shift,pca_shift,3,0.558041458137446
mag_gyro_r_heel_x_pca_shift,pca_shift,3,0.5951803996913843
mag_gyro_r_mall_x_pca_shift,pca_shift,3,0.6072118915099601
mag_gyro_r_met_x_pca_shift,pca_shift,3,0.5933959370461819
mag_gyro_l_knee_1_y_pca_shift,pca_shift,3,0.5576505986069598
mag_gyro_l_met_y_pca_shift,pca_shift,3,0.6638213948452837
mag_gyro_r_force_x_pca_shift,pca_shift,3,0.6735856846891528
mag_gyro_r_force_y_pca_shift,pca_shift,3,0.7250740577582787
pitch_l_asis_y_pca_shift,pca_shift,3,0.38393462517159177
pitch_MIDASIS_y_pca_shift,pca_shift,3,0.3728850179275128
pitch_PO_y_pca_shift,pca_shift,3,0.3728850179275128
pitch_r_asis_y_pca_shift,pca_shift,3,0.46244257772423497
pitch_r_should_y_pca_shift,pca_shift,3,0.4525276539629642
pitch_SHO_y_pca_shift,pca_shift,3,0.40366303678381654
pitch_c7_y_pca_shift,pca_shift,3,0.41187974775112496
pitch_sacrum_s_y_pca_shift,pca_shift,3,0.4105944690785865
pitch_l_knee_1_y_pca_shift,pca_shift,3,0.5563823256256668
roll_r_knee_1_y_pca_shift,pca_shift,3,0.4037700138387389
roll_l_force_z_pca_shift,pca_shift,3,0.5755389749058971
roll_r_should_y_pca_shift,pca_shift,3,0.5454282484318672
roll_r_mall_y_pca_shift,pca_shift,3,0.6635713794151189
roll_r_heel_y_pca_shift,pca_shift,3,0.6938446442760259
vel_x_c7_z_pca_shift,pca_shift,3,0.5810417161330059
vel_x_sacrum_s_z_pca_shift,pca_shift,3,0.5829071585740497
vel_x_l_should_z_pca_shift,pca_shift,3,0.5854725460116798
vel_x_r_should_z_pca_shift,pca_shift,3,0.5788339725043615
vel_x_SHO_z_pca_shift,pca_shift,3,0.5821233400648284
vel_x_r_asis_z_pca_shift,pca_shift,3,0.5835479883495205
vel_x_MIDASIS_z_pca_shift,pca_shift,3,0.5837900108471578
vel_x_PO_z_pca_shift,pca_shift,3,0.5837900108471578
vel_x_l_asis_z_pca_shift,pca_shift,3,0.5840612710833478
vel_x_r_knee_1_z_pca_shift,pca_shift,3,0.6398703957244377
vel_x_l_knee_1_z_pca_shift,pca_shift,3,0.6104984275768801
vel_x_r_mall_z_pca_shift,pca_shift,3,0.6987955396745734
vel_x_l_mall_z_pca_shift,pca_shift,3,0.7120533362594209
vel_x_r_heel_z_pca_shift,pca_shift,3,0.6807668653653924
vel_x_l_heel_z_pca_shift,pca_shift,3,0.717538693864492
vel_x_l_met_z_pca_shift,pca_shift,3,0.7165828578741631
vel_x_r_met_z_pca_shift,pca_shift,3,0.7185565632183732
vel_x_l_should_y_pca_shift,pca_shift,3,0.5082755319553476
vel_x_l_asis_y_pca_shift,pca_shift,3,0.4691467008986553
vel_x_SHO_y_pca_shift,pca_shift,3,0.42880850771396956
vel_x_MIDASIS_y_pca_shift,pca_shift,3,0.42297779854294465
vel_x_PO_y_pca_shift,pca_shift,3,0.42297779854294465
vel_x_r_met_y_pca_shift,pca_shift,3,0.43135753587453907
vel_x_l_force_x_pca_shift,pca_shift,3,0.7104895034094085
vel_x_sacrum_s_y_pca_shift,pca_shift,3,0.4528288777862757
vel_x_r_knee_1_y_pca_shift,pca_shift,3,0.4494422535141157
vel_x_r_force_y_pca_shift,pca_shift,3,0.7089357997259187
vel_x_sacrum_s_x_pca_shift,pca_shift,3,0.5769789246266411
vel_x_r_met_x_pca_shift,pca_shift,3,0.5580361202255405
vel_x_c7_x_pca_shift,pca_shift,3,0.6053804613808723
vel_x_l_should_x_pca_shift,pca_shift,3,0.6020030615968675
vel_x_SHO_x_pca_shift,pca_shift,3,0.6119131829517122
vel_x_l_asis_x_pca_shift,pca_shift,3,0.6159127197381971
vel_x_MIDASIS_x_pca_shift,pca_shift,3,0.612219576490297
vel_x_PO_x_pca_shift,pca_shift,3,0.612219576490297
vel_x_r_asis_x_pca_shift,pca_shift,3,0.6422087628401122
vel_x_r_should_x_pca_shift,pca_shift,3,0.6314874198535549
vel_x_l_met_x_pca_shift,pca_shift,3,0.7362397024735128
vel_x_r_heel_x_pca_shift,pca_shift,3,0.5839565425994855
vel_x_r_mall_x_pca_shift,pca_shift,3,0.5961527278482678
vel_x_l_heel_x_pca_shift,pca_shift,3,0.7286750311490694
vel_x_l_mall_x_pca_shift,pca_shift,3,0.697145776136585
vel_x_l_knee_1_x_pca_shift,pca_shift,3,0.6488239614761382
vel_x_r_knee_1_x_pca_shift,pca_shift,3,0.6072760849299994
vel_y_l_met_z_pca_shift,pca_shift,3,0.726312181750965
vel_y_l_heel_z_pca_shift,pca_shift,3,0.7248147064524948
vel_y_l_mall_z_pca_shift,pca_shift,3,0.7215178558614208
vel_y_l_knee_1_z_pca_shift,pca_shift,3,0.6459908265447573
vel_y_sacrum_s_z_pca_shift,pca_shift,3,0.5823095417903557
vel_y_l_asis_z_pca_shift,pca_shift,3,0.5890381272333827
vel_y_r_asis_z_pca_shift,pca_shift,3,0.5954635117075656
vel_y_MIDASIS_z_pca_shift,pca_shift,3,0.5840397913287312
vel_y_PO_z_pca_shift,pca_shift,3,0.5840397913287312
vel_y_r_should_z_pca_shift,pca_shift,3,0.6022726856948918
vel_y_c7_z_pca_shift,pca_shift,3,0.5785351253701184
vel_y_SHO_z_pca_shift,pca_shift,3,0.595173878979593
vel_y_l_should_z_pca_shift,pca_shift,3,0.5923156693120674
vel_y_r_knee_1_z_pca_shift,pca_shift,3,0.5520836248378258
vel_y_r_heel_z_pca_shift,pca_shift,3,0.5527307264731235
vel_y_r_mall_z_pca_shift,pca_shift,3,0.5617727434732771
vel_y_r_force_z_pca_shift,pca_shift,3,0.6056977051466301
vel_y_r_met_z_pca_shift,pca_shift,3,0.5735265550634082
vel_y_sacrum_s_y_pca_shift,pca_shift,3,0.4700480414165617
vel_y_r_mall_y_pca_shift,pca_shift,3,0.5236650529984737
vel_y_l_asis_y_pca_shift,pca_shift,3,0.4788771925428145
vel_y_SHO_y_pca_shift,pca_shift,3,0.4266836539023075
vel_y_r_heel_y_pca_shift,pca_shift,3,0.6306126375530179
