group,imu,point,corr
trunk,acc_x,l_asis_y,0.8239113430528779
head_neck,acc_x,c7_y,0.8049595674633352
trunk,acc_x,sacrum_s_y,0.7971476697181941
trunk,acc_x,MIDASIS_y,0.7623135370287303
additional_points,acc_x,PO_y,0.7623135370287303
additional_points,acc_x,SHO_y,0.7617474154238378
trunk,acc_x,r_asis_y,0.6664991578269779
upper_body,acc_x,l_should_y,0.6400742058795756
upper_body,acc_x,r_should_y,0.575021076807393
upper_legs,acc_x,l_knee_1_y,0.5384142230957883
upper_legs,acc_x,r_knee_1_x,-0.5966007108998604
trunk,acc_y,MIDASIS_x,0.8146332566257489
additional_points,acc_y,PO_x,0.8146332566257489
trunk,acc_y,l_asis_x,0.8130696619788111
trunk,acc_y,r_asis_x,0.7740700810658514
head_neck,acc_y,c7_x,0.7370282370204698
additional_points,acc_y,SHO_x,0.7329211794696988
upper_body,acc_y,r_should_x,0.7325277230147028
upper_body,acc_y,l_should_x,0.7289710582969767
trunk,acc_y,sacrum_s_x,0.5577659694802269
upper_legs,acc_y,r_knee_1_y,0.5080276406610121
force,acc_y,r_force_y,-0.6239213965362411
force,acc_y,r_force_x,-0.6395426241168204
upper_legs,acc_y,l_knee_1_y,-0.6633916544610903
upper_body,ang_acc_gyro_x,l_should_x,-0.518219691502862
additional_points,ang_acc_gyro_x,SHO_x,-0.5201147155708259
upper_body,ang_acc_gyro_x,r_should_x,-0.5222562515151021
trunk,ang_acc_gyro_x,sacrum_s_x,-0.5357289475650607
trunk,ang_acc_gyro_y,sacrum_s_y,-0.6007501801625483
upper_body,ang_acc_gyro_y,r_should_y,-0.6068861796471836
upper_legs,ang_acc_gyro_y,l_knee_1_x,-0.6301633704553472
head_neck,ang_acc_gyro_y,c7_y,-0.6890464438145703
additional_points,ang_acc_gyro_y,SHO_y,-0.6972695465314637
trunk,ang_acc_gyro_y,r_asis_y,-0.7269707141291821
trunk,ang_acc_gyro_y,l_asis_y,-0.7460866017313128
trunk,ang_acc_gyro_y,MIDASIS_y,-0.7662228243236562
additional_points,ang_acc_gyro_y,PO_y,-0.7662228243236562
lower_legs,ang_acc_gyro_z,r_mall_y,0.6018222555259543
feet,ang_acc_gyro_z,r_heel_y,0.5971997492234337
upper_legs,gyro_x,l_knee_1_y,0.7025824277472924
force,gyro_x,r_force_x,0.5781026832616676
force,gyro_x,r_force_z,0.5049630720344045
upper_legs,gyro_x,l_knee_1_x,-0.555764710657144
