group,imu,point,corr
trunk,acc_x,MIDASIS_y,0.52332440707772
additional_points,acc_x,PO_y,0.52332440707772
head_neck,acc_x,c7_y,0.5176842412223908
trunk,acc_x,l_asis_y,0.4919127356529746
trunk,acc_x,r_asis_y,0.4915592670393643
feet,acc_x,r_heel_y,0.4852835362707158
lower_legs,acc_x,r_mall_y,0.45511513664318354
feet,acc_x,l_heel_y,0.44471560019643874
additional_points,acc_x,SHO_y,0.4271734373023893
upper_body,acc_x,r_should_y,0.4249335517940758
lower_legs,acc_x,l_mall_y,0.4138539958665371
force,acc_x,r_force_z,-0.46502031259312987
force,acc_y,r_force_y,0.4989181068163452
lower_legs,acc_y,l_mall_y,0.4742243399704176
feet,acc_y,l_heel_y,0.46799490469550775
force,acc_y,r_force_x,0.4391820997254165
upper_legs,acc_y,l_knee_1_y,0.4121110085242858
upper_legs,acc_y,r_knee_1_y,-0.4230605450684615
feet,acc_y,r_heel_y,-0.5391493418308361
lower_legs,acc_y,r_mall_y,-0.5735307964455967
head_neck,acc_z,c7_y,0.624690515378322
additional_points,acc_z,SHO_y,0.619244392675989
upper_legs,acc_z,l_knee_1_y,0.58538369694438
trunk,acc_z,MIDASIS_y,0.5815583700410935
additional_points,acc_z,PO_y,0.5815583700410935
trunk,acc_z,r_asis_y,0.562413715906908
trunk,acc_z,l_asis_y,0.5368107962783941
upper_body,acc_z,l_should_y,0.5015797032377919
trunk,acc_z,sacrum_s_y,0.4952237896067751
upper_body,acc_z,r_should_y,0.46173844252104157
upper_legs,acc_z,r_knee_1_y,0.4458138413422029
lower_legs,ang_acc_gyro_x,r_mall_y,0.5325306521942399
feet,ang_acc_gyro_x,r_heel_y,0.527334306631855
trunk,ang_acc_gyro_x,r_asis_y,0.4023171822488968
feet,ang_acc_gyro_x,l_heel_y,-0.40789209430716294
force,ang_acc_gyro_y,r_force_z,0.41113821635435654
trunk,ang_acc_gyro_y,l_asis_y,-0.41622564798103795
trunk,ang_acc_gyro_y,sacrum_s_y,-0.41761358535746995
head_neck,ang_acc_gyro_y,c7_y,-0.48691166610228154
lower_legs,ang_acc_gyro_y,l_mall_y,-0.5370036295544158
feet,ang_acc_gyro_y,l_heel_y,-0.5484968701071227
lower_legs,ang_acc_gyro_z,l_mall_y,0.6063628933531618
feet,ang_acc_gyro_z,l_heel_y,0.6030777475955001
lower_legs,ang_acc_gyro_z,r_mall_y,-0.45823388628505757
feet,ang_acc_gyro_z,r_heel_y,-0.462088098427836
upper_legs,gyro_x,r_knee_1_y,0.7629365274004709
feet,gyro_x,r_met_y,0.6193220535926238
force,gyro_x,l_force_z,0.5121367199751508
force,gyro_x,l_force_y,0.4289978087232656
feet,gyro_x,r_met_z,0.4092762780678656
feet,gyro_x,r_heel_x,-0.4544107416716184
feet,gyro_x,l_met_y,-0.4680760182395875
lower_legs,gyro_x,r_mall_x,-0.476352699154267
force,gyro_x,r_force_y,-0.5141683587355589
feet,gyro_x,r_met_x,-0.5648910876028933
force,gyro_x,r_force_x,-0.5787141368216017
upper_legs,gyro_x,l_knee_1_y,-0.619806782908847
force,gyro_y,r_force_z,-0.4076175717254241
upper_body,gyro_y,l_should_y,-0.44717201369832976
trunk,gyro_y,l_asis_y,-0.5708862980473661
trunk,gyro_y,sacrum_s_y,-0.6349072820463083
upper_body,gyro_y,r_should_y,-0.6755266064616505
trunk,gyro_y,MIDASIS_y,-0.6767356211706586
additional_points,gyro_y,PO_y,-0.6767356211706586
head_neck,gyro_y,c7_y,-0.685285391844256
additional_points,gyro_y,SHO_y,-0.6944228727150284
trunk,gyro_y,r_asis_y,-0.7090330143071691
upper_legs,gyro_y,l_knee_1_y,-0.7288435118331739
upper_legs,gyro_z,l_knee_1_y,0.6863701073543588
force,gyro_z,r_force_x,0.553478816442509
force,gyro_z,r_force_y,0.5169127767580779
feet,gyro_z,l_met_y,0.5028887398770715
feet,gyro_z,r_met_x,0.4341691555414593
lower_legs,gyro_z,r_mall_x,0.41306326324612863
force,gyro_z,l_force_z,-0.4859179346432509
feet,gyro_z,r_met_y,-0.5397413825537225
upper_legs,gyro_z,r_knee_1_y,-0.5566438902474775
head_neck,mag_acc,c7_y,0.5101188772211346
trunk,mag_acc,MIDASIS_y,0.5083401700475217
additional_points,mag_acc,PO_y,0.5083401700475217
trunk,mag_acc,l_asis_y,0.4863179908411448
feet,mag_acc,l_heel_y,0.4802819498684086
trunk,mag_acc,r_asis_y,0.4703379521140984
