Variable Pair,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Index
acc_x_r_asis_y_tsne,0.3777522,937.5290275743414,0.8806698503413717
acc_x_r_should_y_tsne,0.38573018,990.7112469804546,0.8809712862426116
acc_x_r_heel_y_tsne,0.40339455,1090.9130023601792,0.8521841108283619
acc_x_l_heel_y_tsne,0.4145138,1163.7616630641035,0.8159661743032274
acc_x_r_mall_y_tsne,0.388612,1001.9478677126965,0.8866572464529633
acc_x_l_mall_y_tsne,0.42403716,1192.6753807909631,0.8051645035873646
acc_x_r_force_z_tsne,0.3959543,1069.258579385061,0.8645030064286647
acc_x_MIDASIS_y_tsne,0.40158594,1092.9391222903807,0.8324963415313631
acc_x_PO_y_tsne,0.40158594,1092.9391222903807,0.8324963415313631
acc_x_l_asis_y_tsne,0.4056162,1095.8521668131677,0.8349790886715075
acc_x_SHO_y_tsne,0.39907223,1069.9988693463579,0.8332552731200797
acc_x_c7_y_tsne,0.39006186,1061.705210239037,0.8538067076295796
acc_y_r_force_x_tsne,0.3563566,869.9020566017529,0.9389078789049586
acc_y_l_mall_y_tsne,0.3794655,955.3580826540153,0.887377534913743
acc_y_l_heel_y_tsne,0.40158132,1087.905507664703,0.8373380130410877
acc_y_r_force_y_tsne,0.36946055,917.4272156614124,0.9000434133536257
acc_y_l_knee_1_y_tsne,0.40392083,1099.0166584240983,0.8384180103614224
acc_y_r_knee_1_y_tsne,0.38439935,985.5043638181548,0.8540386857033843
acc_y_r_mall_y_tsne,0.38140798,1029.8808480413506,0.8613345928254882
acc_y_r_heel_y_tsne,0.39362478,1065.3234649459,0.8363260158107707
acc_z_c7_y_tsne,0.36131498,899.3683274356541,0.9152779129393758
acc_z_MIDASIS_y_tsne,0.39245194,1033.1568567520767,0.866849068274688
acc_z_PO_y_tsne,0.39245194,1033.1568567520767,0.866849068274688
acc_z_SHO_y_tsne,0.394883,1046.129340140766,0.842433503611162
acc_z_l_asis_y_tsne,0.3943584,1034.0938643597128,0.8635787936745817
acc_z_r_asis_y_tsne,0.408226,1099.1567994986824,0.8269707567370931
acc_z_sacrum_s_y_tsne,0.3935223,1027.755116924253,0.8603296279316536
acc_z_r_should_y_tsne,0.40998706,1154.9195405695043,0.8088322438881216
acc_z_l_should_y_tsne,0.37540388,961.7978035470697,0.9055300379950872
acc_z_l_knee_1_y_tsne,0.3733241,906.6657518982498,0.880224768958887
acc_z_r_knee_1_y_tsne,0.3811613,984.137283434941,0.8658019056980156
ang_acc_gyro_x_r_heel_y_tsne,0.3972795,1022.8946288632114,0.8327856975600386
ang_acc_gyro_x_r_mall_y_tsne,0.39077297,1045.632571041281,0.8549957872413767
ang_acc_gyro_x_r_asis_y_tsne,0.40123466,1107.834161843866,0.8620487335390923
ang_acc_gyro_x_l_heel_y_tsne,0.40189305,1035.6028881169825,0.8418550395104071
ang_acc_gyro_y_c7_y_tsne,0.39039457,1057.9938513824022,0.8632095412162261
ang_acc_gyro_y_l_asis_y_tsne,0.42179322,1151.1255570546057,0.8036198802520939
ang_acc_gyro_y_sacrum_s_y_tsne,0.39561346,1084.8214879037419,0.8633479097552114
ang_acc_gyro_y_r_force_z_tsne,0.3892975,1006.877053013943,0.8475737687235
ang_acc_gyro_y_l_mall_y_tsne,0.40891528,1130.9874234403799,0.8376981043846924
ang_acc_gyro_y_l_heel_y_tsne,0.40141144,1083.3349611427516,0.8333527291777095
ang_acc_gyro_z_l_heel_y_tsne,0.41018873,1101.629706319967,0.8064722517482785
ang_acc_gyro_z_l_mall_y_tsne,0.4138111,1135.3623517071792,0.8098813696086099
