Item,Method,Num Clusters,Silhouette Score
acc_x_r_asis_y_tsne,tsne,3,0.3816195
acc_x_r_should_y_tsne,tsne,3,0.38826784
acc_x_r_heel_y_tsne,tsne,3,0.4038097
acc_x_l_heel_y_tsne,tsne,3,0.42455637
acc_x_r_mall_y_tsne,tsne,3,0.39458507
acc_x_l_mall_y_tsne,tsne,3,0.42305294
acc_x_r_force_z_tsne,tsne,3,0.39814016
acc_x_MIDASIS_y_tsne,tsne,3,0.4040756
acc_x_PO_y_tsne,tsne,3,0.4040756
acc_x_l_asis_y_tsne,tsne,3,0.40483227
acc_x_SHO_y_tsne,tsne,3,0.40342915
acc_x_c7_y_tsne,tsne,3,0.39029667
acc_y_r_force_x_tsne,tsne,3,0.35592538
acc_y_l_mall_y_tsne,tsne,3,0.3695065
acc_y_l_heel_y_tsne,tsne,3,0.40142038
acc_y_r_force_y_tsne,tsne,3,0.3778963
acc_y_l_knee_1_y_tsne,tsne,3,0.40749586
acc_y_r_knee_1_y_tsne,tsne,3,0.37989327
acc_y_r_mall_y_tsne,tsne,3,0.38149655
acc_y_r_heel_y_tsne,tsne,3,0.39320165
acc_z_c7_y_tsne,tsne,3,0.4076992
acc_z_SHO_y_tsne,tsne,3,0.3937569
acc_z_MIDASIS_y_tsne,tsne,3,0.379954
acc_z_PO_y_tsne,tsne,3,0.379954
acc_z_l_asis_y_tsne,tsne,3,0.40266028
acc_z_r_asis_y_tsne,tsne,3,0.39951813
acc_z_sacrum_s_y_tsne,tsne,3,0.3970358
acc_z_r_should_y_tsne,tsne,3,0.40365133
acc_z_l_should_y_tsne,tsne,3,0.3696593
acc_z_l_knee_1_y_tsne,tsne,3,0.37318954
acc_z_r_knee_1_y_tsne,tsne,3,0.38597727
ang_acc_gyro_x_r_heel_y_tsne,tsne,3,0.4008587
ang_acc_gyro_x_r_mall_y_tsne,tsne,3,0.39068052
ang_acc_gyro_x_r_asis_y_tsne,tsne,3,0.4016158
ang_acc_gyro_x_l_heel_y_tsne,tsne,3,0.39787427
ang_acc_gyro_y_c7_y_tsne,tsne,3,0.38914126
ang_acc_gyro_y_l_asis_y_tsne,tsne,3,0.42240024
ang_acc_gyro_y_sacrum_s_y_tsne,tsne,3,0.39614224
ang_acc_gyro_y_r_force_z_tsne,tsne,3,0.39135814
ang_acc_gyro_y_l_mall_y_tsne,tsne,3,0.40872523
ang_acc_gyro_y_l_heel_y_tsne,tsne,3,0.4022464
ang_acc_gyro_z_l_heel_y_tsne,tsne,3,0.41150984
ang_acc_gyro_z_l_mall_y_tsne,tsne,3,0.4140462
ang_acc_gyro_z_r_heel_y_tsne,tsne,3,0.43123665
ang_acc_gyro_z_r_mall_y_tsne,tsne,3,0.4330727
gyro_x_r_knee_1_y_tsne,tsne,3,0.38231122
gyro_x_l_force_z_tsne,tsne,3,0.39724642
gyro_x_r_met_y_tsne,tsne,3,0.39807314
gyro_x_l_force_y_tsne,tsne,3,0.38782945
gyro_x_r_met_z_tsne,tsne,3,0.38542986
gyro_x_r_heel_x_tsne,tsne,3,0.39679366
gyro_x_r_mall_x_tsne,tsne,3,0.3708763
gyro_x_r_met_x_tsne,tsne,3,0.41165638
gyro_x_l_met_y_tsne,tsne,3,0.37817845
gyro_x_l_knee_1_y_tsne,tsne,3,0.38912505
gyro_x_r_force_x_tsne,tsne,3,0.3682089
gyro_x_r_force_y_tsne,tsne,3,0.3974128
gyro_y_l_should_y_tsne,tsne,3,0.39710122
gyro_y_r_force_z_tsne,tsne,3,0.41023982
gyro_y_l_asis_y_tsne,tsne,3,0.39584163
gyro_y_r_should_y_tsne,tsne,3,0.41772538
gyro_y_r_asis_y_tsne,tsne,3,0.3975224
gyro_y_MIDASIS_y_tsne,tsne,3,0.3736801
gyro_y_PO_y_tsne,tsne,3,0.3736801
gyro_y_l_knee_1_y_tsne,tsne,3,0.37586468
gyro_y_sacrum_s_y_tsne,tsne,3,0.38042524
gyro_y_SHO_y_tsne,tsne,3,0.38549927
gyro_y_c7_y_tsne,tsne,3,0.39350677
gyro_z_r_force_y_tsne,tsne,3,0.40130112
gyro_z_r_force_x_tsne,tsne,3,0.39549154
gyro_z_l_knee_1_y_tsne,tsne,3,0.3819247
gyro_z_l_met_y_tsne,tsne,3,0.40073457
gyro_z_r_met_x_tsne,tsne,3,0.4036939
gyro_z_r_mall_x_tsne,tsne,3,0.41523066
gyro_z_l_force_z_tsne,tsne,3,0.40975428
gyro_z_r_knee_1_y_tsne,tsne,3,0.38482627
gyro_z_r_met_y_tsne,tsne,3,0.37843528
mag_acc_l_heel_y_tsne,tsne,3,0.40697196
mag_acc_r_heel_y_tsne,tsne,3,0.4054706
mag_acc_l_mall_y_tsne,tsne,3,0.4250115
mag_acc_r_mall_y_tsne,tsne,3,0.39455628
mag_acc_r_force_z_tsne,tsne,3,0.39839625
mag_acc_r_should_y_tsne,tsne,3,0.388326
mag_acc_r_asis_y_tsne,tsne,3,0.3839617
mag_acc_l_asis_y_tsne,tsne,3,0.40540764
mag_acc_MIDASIS_y_tsne,tsne,3,0.40149832
mag_acc_PO_y_tsne,tsne,3,0.40149832
mag_acc_SHO_y_tsne,tsne,3,0.40058258
