group,imu,point,corr
feet,acc_x,l_heel_y,0.5669010271701204
upper_legs,acc_x,l_knee_1_x,0.5645276429822241
lower_legs,acc_x,l_mall_y,0.5467972306402638
trunk,acc_x,l_asis_y,0.5335099483747819
force,acc_x,r_force_z,-0.5103506402566077
lower_legs,acc_y,l_mall_y,0.6151266218713214
force,acc_y,r_force_y,0.6091260947352946
feet,acc_y,l_heel_y,0.5936816586568023
force,acc_y,r_force_x,0.5694946735538513
force,acc_y,l_force_y,-0.5046367300700968
trunk,acc_y,sacrum_s_x,-0.6539617350761666
feet,acc_y,r_heel_y,-0.6947286219524876
trunk,acc_y,r_asis_x,-0.6989035225399062
trunk,acc_y,l_asis_x,-0.7182572381144605
lower_legs,acc_y,r_mall_y,-0.722348116554451
trunk,acc_y,MIDASIS_x,-0.7247856022459329
additional_points,acc_y,PO_x,-0.7247856022459329
head_neck,acc_y,c7_x,-0.7496745819419741
additional_points,acc_y,SHO_x,-0.7634153545244696
upper_body,acc_y,r_should_x,-0.7680679688080441
upper_body,acc_y,l_should_x,-0.7687262463527659
additional_points,acc_z,SHO_y,0.7276083679829877
trunk,acc_z,MIDASIS_y,0.6848261799113354
additional_points,acc_z,PO_y,0.6848261799113354
head_neck,acc_z,c7_y,0.6834505736782931
trunk,acc_z,l_asis_y,0.6563947733865098
trunk,acc_z,r_asis_y,0.6132856584521995
upper_body,acc_z,r_should_y,0.5906134918098294
upper_body,acc_z,l_should_y,0.5873869437411777
trunk,acc_z,sacrum_s_y,0.5791901960437154
feet,ang_acc_gyro_x,r_heel_y,0.6290916395199676
lower_legs,ang_acc_gyro_x,r_mall_y,0.6244211177797999
upper_legs,ang_acc_gyro_x,r_knee_1_x,-0.5126575893274863
upper_legs,ang_acc_gyro_y,l_knee_1_x,-0.5160490152484605
trunk,ang_acc_gyro_y,MIDASIS_y,-0.5358582903122503
additional_points,ang_acc_gyro_y,PO_y,-0.5358582903122503
head_neck,ang_acc_gyro_y,c7_y,-0.5414100473389527
trunk,ang_acc_gyro_y,sacrum_s_y,-0.56599938621365
trunk,ang_acc_gyro_y,l_asis_y,-0.6360882203440278
lower_legs,ang_acc_gyro_z,l_mall_y,0.6115241173218077
feet,ang_acc_gyro_z,l_heel_y,0.6100472975081013
feet,ang_acc_gyro_z,r_heel_y,-0.5043009798813639
trunk,ang_acc_gyro_z,sacrum_s_x,-0.5141438490604244
lower_legs,ang_acc_gyro_z,r_mall_y,-0.5166010337796719
upper_legs,gyro_x,r_knee_1_y,0.7935674394822546
trunk,gyro_x,r_asis_x,0.6867520362654183
trunk,gyro_x,l_asis_x,0.67478684448514
trunk,gyro_x,MIDASIS_x,0.6690251081813519
additional_points,gyro_x,PO_x,0.6690251081813519
feet,gyro_x,r_met_y,0.5163000530954582
force,gyro_x,l_force_z,0.502473542338121
force,gyro_x,r_force_y,-0.5120497887865413
force,gyro_x,r_force_x,-0.5747987585022724
upper_legs,gyro_x,l_knee_1_y,-0.6831789270487852
upper_legs,gyro_y,r_knee_1_x,0.6190599594773544
trunk,gyro_y,l_asis_y,-0.5841843911616232
trunk,gyro_y,sacrum_s_y,-0.5891927116100409
upper_legs,gyro_y,l_knee_1_y,-0.6163870314175072
head_neck,gyro_y,c7_y,-0.6748939415774409
trunk,gyro_y,r_asis_y,-0.6965815082089826
trunk,gyro_y,MIDASIS_y,-0.7015516016662807
additional_points,gyro_y,PO_y,-0.7015516016662807
upper_body,gyro_y,r_should_y,-0.7133574776810195
additional_points,gyro_y,SHO_y,-0.7455288984944245
force,gyro_z,r_force_x,0.6524922029019687
feet,gyro_z,l_met_y,0.6420082680867486
upper_legs,gyro_z,l_knee_1_y,0.622684355084948
force,gyro_z,r_force_y,0.5671309990648137
head_neck,gyro_z,c7_x,-0.5388465439579931
force,gyro_z,l_force_z,-0.5577578747740493
upper_legs,gyro_z,r_knee_1_y,-0.5955568504189329
feet,gyro_z,r_met_y,-0.6649758546836232
trunk,gyro_z,l_asis_x,-0.7584268666605382
trunk,gyro_z,MIDASIS_x,-0.7751992055338616
additional_points,gyro_z,PO_x,-0.7751992055338616
trunk,gyro_z,r_asis_x,-0.7902273925142971
upper_legs,jerk_x,l_knee_1_y,-0.5189003193768577
upper_body,jerk_x,r_should_y,-0.5247365382630979
trunk,jerk_x,r_asis_y,-0.58149968000801
trunk,jerk_x,sacrum_s_y,-0.6565891635379975
upper_body,jerk_x,l_should_y,-0.6798316517790469
trunk,jerk_x,MIDASIS_y,-0.6893749797866032
additional_points,jerk_x,PO_y,-0.6893749797866032
trunk,jerk_x,l_asis_y,-0.7156394170328925
head_neck,jerk_x,c7_y,-0.721259611049947
additional_points,jerk_x,SHO_y,-0.7301191173558619
feet,mag_acc,l_heel_y,0.5993907970032133
lower_legs,mag_acc,l_mall_y,0.5779906449412604
upper_legs,mag_acc,l_knee_1_x,0.568300858399282
trunk,mag_acc,l_asis_y,0.5033185627232091
force,mag_acc,r_force_z,-0.5151701869153859
upper_legs,mag_gyro,l_knee_1_y,0.736390501696553
force,mag_gyro,r_force_x,0.6226979430333535
force,mag_gyro,r_force_y,0.5404858606433485
feet,mag_gyro,l_met_y,0.5372923898257795
head_neck,mag_gyro,c7_x,-0.511289179905074
force,mag_gyro,l_force_z,-0.5552093973837596
