imu,kinematic,lag,corr
acc_x,jerk_z,-2,0.8567646928355906
acc_x,l_asis_y,-6,0.8316184964652192
acc_x,c7_y,-10,0.8227495331048471
acc_x,sacrum_s_y,-4,0.8000973812225695
acc_x,SHO_y,-13,0.7901647970459345
acc_x,MIDASIS_y,-9,0.7769393587205173
acc_x,PO_y,-9,0.7769393587205173
acc_x,r_asis_y,-14,0.6963544062612064
acc_x,l_should_y,-8,0.6504493485605752
acc_x,r_should_y,-16,0.6102442951539149
acc_x,l_knee_1_y,-17,0.5715567307656322
acc_x,r_force_z,-98,0.5280157619472958
acc_x,l_heel_y,-95,-0.5426921879236893
acc_x,r_knee_1_x,-2,-0.5972294599135206
acc_x,r_knee_1_y,93,-0.5986800118874871
acc_y,sacrum_s_x,91,0.8213416244544196
acc_y,MIDASIS_x,7,0.8169039676292293
acc_y,PO_x,7,0.8169039676292293
acc_y,l_asis_x,7,0.8154865423237602
acc_y,l_should_x,49,0.8029423059945167
acc_y,r_should_x,47,0.7998544347031555
acc_y,c7_x,46,0.7984981080486383
acc_y,SHO_x,47,0.7982444207492833
acc_y,r_mall_y,67,0.7834736277118391
acc_y,r_asis_x,0,0.7740700810658498
acc_y,r_heel_y,70,0.7647669984106796
acc_y,r_met_y,-95,0.7457984617913336
acc_y,jerk_y,54,0.6673019396739048
acc_y,l_knee_1_x,-83,0.6419166990559424
acc_y,r_knee_1_y,-45,0.6228350678145416
acc_y,l_force_y,85,0.5609093929989748
acc_y,l_should_y,71,-0.5439284438880412
acc_y,r_force_y,81,-0.6711785616664512
acc_y,l_knee_1_y,-14,-0.6823342704842132
acc_y,r_force_x,-46,-0.7034813098873057
acc_y,l_mall_y,79,-0.7689033716572956
acc_y,l_heel_y,78,-0.8286568242925952
acc_z,jerk_z,65,0.8984593028677949
acc_z,l_asis_y,62,0.8965898789609229
acc_z,c7_y,56,0.8600782631248437
acc_z,SHO_y,55,0.8380777468797415
acc_z,MIDASIS_y,60,0.8270967246954484
acc_z,PO_y,60,0.8270967246954484
acc_z,sacrum_s_y,62,0.8105666277402324
acc_z,l_should_y,57,0.7308988029958038
acc_z,r_asis_y,56,0.7218925291889823
acc_z,l_knee_1_x,91,0.6801153268323595
acc_z,r_should_y,51,0.6092801451069119
acc_z,r_knee_1_y,32,0.5724727769702728
acc_z,r_knee_1_x,-65,0.553115584589928
ang_acc_gyro_x,r_force_x,-83,0.730496273473509
ang_acc_gyro_x,r_force_y,-77,0.7037221050420197
ang_acc_gyro_x,l_heel_y,55,0.6781457672252603
ang_acc_gyro_x,l_force_x,-72,0.6326382090121258
ang_acc_gyro_x,l_mall_y,56,0.5961341114395559
ang_acc_gyro_x,r_heel_y,42,-0.5509081781628671
ang_acc_gyro_x,r_mall_y,40,-0.5571033256478554
ang_acc_gyro_x,MIDASIS_x,-77,-0.5745864156467452
