imu,kinematic,lag,corr
acc_x,jerk_z,0,0.9444942840645094
acc_x,r_asis_y,-34,0.6642830888345234
acc_x,r_knee_1_y,-71,0.5571724722930788
acc_x,r_should_y,-30,0.5472286050808359
acc_x,r_heel_y,14,0.5082904115725477
acc_x,l_heel_y,20,0.4853097139051707
acc_x,r_mall_y,12,0.47352095658836074
acc_x,l_mall_y,16,0.4378462283621698
acc_x,r_force_z,12,-0.4763954361471206
acc_x,l_knee_1_y,85,-0.615377033636412
acc_y,jerk_y,51,0.7350198804200776
acc_y,r_force_x,-81,0.7042119147660997
acc_y,l_mall_y,54,0.6940514470531571
acc_y,l_heel_y,53,0.6762012478258124
acc_y,r_force_y,-74,0.6468243278142769
acc_y,r_met_x,-84,0.5694034380372164
acc_y,r_mall_x,-91,0.5045920812306296
acc_y,l_knee_1_y,-31,0.49391136529077734
acc_y,r_heel_x,-94,0.4802651984793311
acc_y,MIDASIS_y,52,-0.4060376999916056
acc_y,PO_y,52,-0.4060376999916056
acc_y,r_asis_y,68,-0.5215008162070972
acc_y,r_knee_1_y,-43,-0.5879843742138573
acc_y,l_force_y,-73,-0.5884811423056727
acc_y,r_should_y,87,-0.5898409383554616
acc_y,r_mall_y,53,-0.8275131979496058
acc_y,r_heel_y,55,-0.8275690378796975
acc_z,jerk_z,66,0.9337405651999922
acc_z,c7_y,35,0.8635593724407998
acc_z,MIDASIS_y,34,0.7934254481829649
acc_z,PO_y,34,0.7934254481829649
acc_z,SHO_y,30,0.7930401187646052
acc_z,l_asis_y,36,0.7594974786101236
acc_z,r_asis_y,33,0.7389557853456412
acc_z,sacrum_s_y,35,0.7058038566557521
acc_z,r_should_y,34,0.6298910875962215
acc_z,l_should_y,28,0.6180328962682003
acc_z,l_knee_1_y,14,0.6096292600610999
acc_z,l_heel_y,94,0.5318364935325389
acc_z,l_mall_y,90,0.4928950288616291
acc_z,r_force_z,-59,0.4886474761888689
acc_z,r_knee_1_y,3,0.4473657067849872
acc_z,r_mall_y,-62,-0.40269287337115006
acc_z,r_heel_y,-61,-0.44000127271567374
ang_acc_gyro_x,r_heel_y,37,0.6533638842023368
ang_acc_gyro_x,r_mall_y,34,0.6363879074892388
ang_acc_gyro_x,l_force_y,-95,0.6337978652369131
ang_acc_gyro_x,l_knee_1_y,96,0.4335357529923824
ang_acc_gyro_x,r_should_y,68,0.41986349540487
ang_acc_gyro_x,r_asis_y,0,0.405299710069205
ang_acc_gyro_x,l_heel_y,38,-0.5160852263946005
ang_acc_gyro_x,l_mall_y,40,-0.5180812336074344
ang_acc_gyro_x,r_knee_1_y,90,-0.5589777758105953
ang_acc_gyro_x,jerk_y,41,-0.9160371435665535
ang_acc_gyro_y,MIDASIS_y,98,0.7468186418333812
ang_acc_gyro_y,PO_y,98,0.7468186418333812
ang_acc_gyro_y,SHO_y,98,0.7441037470516729
ang_acc_gyro_y,r_asis_y,99,0.7327461720947924
ang_acc_gyro_y,r_force_z,28,0.489779938281247
ang_acc_gyro_y,jerk_y,-44,0.4497909941770201
ang_acc_gyro_y,l_should_y,-46,-0.4944165717671837
ang_acc_gyro_y,l_mall_y,21,-0.5867105329163463
ang_acc_gyro_y,l_knee_1_y,-55,-0.5969354903115002
ang_acc_gyro_y,l_heel_y,25,-0.6250374962873113
ang_acc_gyro_y,jerk_z,-10,-0.8879713612040189
ang_acc_gyro_z,jerk_y,-20,0.8633652305465971
ang_acc_gyro_z,l_heel_y,-12,0.6201025109225797
ang_acc_gyro_z,l_mall_y,-9,0.6183250293469883
ang_acc_gyro_z,l_knee_1_y,-91,0.4846326409827939
ang_acc_gyro_z,l_force_z,74,0.4538137213231102
ang_acc_gyro_z,r_asis_y,36,-0.44811905785667855
ang_acc_gyro_z,r_force_z,64,-0.4582679665239514
ang_acc_gyro_z,r_heel_y,-10,-0.47017275383069423
ang_acc_gyro_z,r_mall_y,-13,-0.4712470857378487
ang_acc_gyro_z,r_should_y,38,-0.5106740480859575
gyro_x,r_knee_1_y,9,0.7685243326355655
gyro_x,l_force_z,-77,0.7456115436901717
gyro_x,r_met_y,-39,0.6821159240536282
gyro_x,jerk_y,-15,0.6784388918603448
gyro_x,r_met_z,-35,0.4304740444054261
gyro_x,r_heel_z,-33,0.4139496239267493
gyro_x,r_mall_z,-32,0.4097512068985626
gyro_x,c7_x,99,0.40677341861254895
gyro_x,r_heel_x,-5,-0.4527569829085573
gyro_x,r_mall_x,-1,-0.475497388337094
gyro_x,r_met_x,-11,-0.5679167496115286
gyro_x,r_force_z,-97,-0.5847716957241859
gyro_x,l_met_y,92,-0.587469143856098
gyro_x,l_knee_1_y,22,-0.6503254863854068
gyro_y,l_heel_y,-60,0.7384858831989064
gyro_y,l_mall_y,-64,0.7090008478139264
gyro_y,l_force_z,82,0.4938961047697437
gyro_y,r_met_y,95,0.45457687166358884
gyro_y,l_should_y,25,-0.5260066352269475
gyro_y,r_force_z,-56,-0.6694039399308711
gyro_y,l_asis_y,28,-0.6922523333095926
gyro_y,r_should_y,20,-0.7315976558972405
gyro_y,MIDASIS_y,23,-0.759612532336121
gyro_y,PO_y,23,-0.759612532336121
