group,imu,point,corr
trunk,acc_x,MIDASIS_y,0.52332440707772
additional_points,acc_x,PO_y,0.52332440707772
head_neck,acc_x,c7_y,0.5176842412223908
feet,acc_y,r_heel_y,-0.5391493418308361
lower_legs,acc_y,r_mall_y,-0.5735307964455967
head_neck,acc_z,c7_y,0.624690515378322
additional_points,acc_z,SHO_y,0.619244392675989
upper_legs,acc_z,l_knee_1_y,0.58538369694438
trunk,acc_z,MIDASIS_y,0.5815583700410935
additional_points,acc_z,PO_y,0.5815583700410935
trunk,acc_z,r_asis_y,0.562413715906908
trunk,acc_z,l_asis_y,0.5368107962783941
upper_body,acc_z,l_should_y,0.5015797032377919
lower_legs,ang_acc_gyro_x,r_mall_y,0.5325306521942399
feet,ang_acc_gyro_x,r_heel_y,0.527334306631855
lower_legs,ang_acc_gyro_y,l_mall_y,-0.5370036295544158
feet,ang_acc_gyro_y,l_heel_y,-0.5484968701071227
lower_legs,ang_acc_gyro_z,l_mall_y,0.6063628933531618
feet,ang_acc_gyro_z,l_heel_y,0.6030777475955001
upper_legs,gyro_x,r_knee_1_y,0.7629365274004709
feet,gyro_x,r_met_y,0.6193220535926238
force,gyro_x,l_force_z,0.5121367199751508
force,gyro_x,r_force_y,-0.5141683587355589
feet,gyro_x,r_met_x,-0.5648910876028933
force,gyro_x,r_force_x,-0.5787141368216017
upper_legs,gyro_x,l_knee_1_y,-0.619806782908847
trunk,gyro_y,l_asis_y,-0.5708862980473661
trunk,gyro_y,sacrum_s_y,-0.6349072820463083
upper_body,gyro_y,r_should_y,-0.6755266064616505
trunk,gyro_y,MIDASIS_y,-0.6767356211706586
additional_points,gyro_y,PO_y,-0.6767356211706586
head_neck,gyro_y,c7_y,-0.685285391844256
additional_points,gyro_y,SHO_y,-0.6944228727150284
trunk,gyro_y,r_asis_y,-0.7090330143071691
upper_legs,gyro_y,l_knee_1_y,-0.7288435118331739
upper_legs,gyro_z,l_knee_1_y,0.6863701073543588
force,gyro_z,r_force_x,0.553478816442509
force,gyro_z,r_force_y,0.5169127767580779
feet,gyro_z,l_met_y,0.5028887398770715
feet,gyro_z,r_met_y,-0.5397413825537225
upper_legs,gyro_z,r_knee_1_y,-0.5566438902474775
trunk,jerk_x,l_asis_y,-0.506063535872175
upper_legs,jerk_x,r_knee_1_y,-0.5156446514410036
upper_legs,jerk_x,l_knee_1_y,-0.5167557971750331
trunk,jerk_x,MIDASIS_y,-0.5248799693909011
additional_points,jerk_x,PO_y,-0.5248799693909011
additional_points,jerk_x,SHO_y,-0.5718815581295881
head_neck,jerk_x,c7_y,-0.5927971911748429
head_neck,mag_acc,c7_y,0.5101188772211346
trunk,mag_acc,MIDASIS_y,0.5083401700475217
additional_points,mag_acc,PO_y,0.5083401700475217
upper_legs,mag_gyro,r_knee_1_y,0.8589438512903852
feet,mag_gyro,r_met_y,0.6079394655541079
force,mag_gyro,l_force_z,0.5547236054640914
force,mag_gyro,r_force_x,-0.5218093530909939
feet,mag_gyro,r_met_x,-0.5477674001855403
upper_body,pitch,r_should_y,-0.5349021538379678
head_neck,pitch,c7_y,-0.5393285784531534
additional_points,pitch,SHO_y,-0.5480289558884391
trunk,pitch,sacrum_s_y,-0.5772546613256809
upper_legs,pitch,l_knee_1_y,-0.8528743124963328
head_neck,pos_x,c7_y,0.5160443106899268
feet,pos_y,r_heel_y,-0.5391171720828322
lower_legs,pos_y,r_mall_y,-0.5730691881014467
head_neck,pos_z,c7_y,0.6226678908731406
additional_points,pos_z,SHO_y,0.619557977708237
upper_legs,pos_z,l_knee_1_y,0.5844952981786635
trunk,pos_z,MIDASIS_y,0.5820210562232916
additional_points,pos_z,PO_y,0.5820210562232916
trunk,pos_z,r_asis_y,0.562691186521218
trunk,pos_z,l_asis_y,0.5371214802939535
force,roll,l_force_z,0.6505866708542954
upper_legs,roll,r_knee_1_y,0.5185507221308321
lower_legs,roll,r_mall_y,-0.7859214938621351
feet,roll,r_heel_y,-0.8163049576865749
head_neck,vel_x,c7_z,0.9995739412507152
trunk,vel_x,sacrum_s_z,0.9995471429194036
upper_body,vel_x,l_should_z,0.9993966171140921
upper_legs,vel_x,r_knee_1_z,0.9922092162029059
upper_legs,vel_x,l_knee_1_z,0.9905040048987707
additional_points,vel_x,SHO_z,0.9885844345246035
upper_body,vel_x,r_should_z,0.9885213346498468
trunk,vel_x,r_asis_z,0.9882962161891035
trunk,vel_x,MIDASIS_z,0.9854261078740475
