Variable Pair,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Index
c7_x_pca_shift,0.6039263489536162,3403.633543482185,0.5914330698374309
c7_y_pca_shift,0.5860186357355456,3031.2226448748193,0.5387481911930901
c7_z_pca_shift,0.8117975292504408,3264.1943914276735,0.699856857066325
r_should_x_pca_shift,0.6155856959160326,2971.283779609985,0.5477946624440282
r_should_y_pca_shift,0.84005400963688,9691.202310908337,0.49749476907273343
r_should_z_pca_shift,0.8255299085765225,3394.39022001844,0.6932253204108837
l_should_x_pca_shift,0.5747545347651424,3400.0422599830854,0.6671151721826053
l_should_y_pca_shift,0.7401208622186304,5930.13568687185,0.5191194599752026
l_should_z_pca_shift,0.8235078324123922,3286.457354632145,0.713390986112601
sacrum_s_z_pca_shift,0.8141484816206306,3286.312924517943,0.6991666498538646
r_asis_y_pca_shift,0.5662337254789621,3597.485454429865,0.5097019324350786
r_asis_z_pca_shift,0.8173762394941799,3313.3054291335707,0.698299221292172
l_asis_z_pca_shift,0.8218632959867713,3349.470492636888,0.6970934407476682
MIDASIS_z_pca_shift,0.8172822592406719,3312.750740966872,0.6983396623660779
r_knee_1_x_pca_shift,0.8153150794582554,6595.361600457392,0.45334581341610375
r_knee_1_z_pca_shift,0.8203509950928056,3144.3752511952885,0.7341646128405092
l_knee_1_x_pca_shift,0.8318240039816927,7426.653970373258,0.46417238744748657
l_knee_1_y_pca_shift,0.6992422756234633,1134.418845768904,0.548609113034554
l_knee_1_z_pca_shift,0.8227575853892004,3832.93104301259,0.6106354040334495
r_mall_z_pca_shift,0.8071383492423819,3377.329395005116,0.714378003440891
l_mall_x_pca_shift,0.8016697258692145,5684.130150654169,0.5303025691359834
l_mall_y_pca_shift,0.7891116486596509,5488.6574880123835,0.46271418346595333
l_mall_z_pca_shift,0.8374282203048892,7647.395790405,0.6184576686216022
r_heel_z_pca_shift,0.8140293650242361,3444.8170188211775,0.7153689318597362
l_heel_x_pca_shift,0.8178148182999253,5803.174123668924,0.5237619149822798
l_heel_y_pca_shift,0.8147004709096057,7194.342763034686,0.454007979269098
l_heel_z_pca_shift,0.8376448208108342,7652.537872759498,0.6189392544591256
r_met_z_pca_shift,0.8059249073753528,3228.1648842257114,0.7126928601146955
l_met_x_pca_shift,0.7838254562442281,5249.62329719774,0.5559501235786883
l_met_z_pca_shift,0.8385254047315273,7715.040016601942,0.6164952802720781
SHO_x_pca_shift,0.6101558315306995,3888.9666873844935,0.5599174262302936
SHO_y_pca_shift,0.6016121925797903,2759.184011308176,0.4902620954373802
SHO_z_pca_shift,0.8251082319543543,3372.837356363957,0.6961969981363492
PO_z_pca_shift,0.8172822592406719,3312.750740966872,0.6983396623660779
r_force_x_pca_shift,0.7408076461108006,3742.8289100350485,0.48188449751772183
