group,imu,point,corr
force,acc_x,r_force_x,0.5956870946087635
upper_body,acc_x,l_should_y,0.5639111153441952
feet,acc_x,r_met_z,-0.5904419905925365
feet,acc_x,l_heel_z,-0.6014287611624917
feet,acc_x,l_met_z,-0.6017225035103911
lower_legs,acc_x,l_mall_z,-0.6028118099141091
lower_legs,acc_x,r_mall_z,-0.6078750062993019
feet,acc_x,r_heel_z,-0.6079864487085815
upper_legs,acc_x,l_knee_1_z,-0.6088646730932116
upper_body,acc_x,r_should_z,-0.6303811807582458
head_neck,acc_x,c7_z,-0.6318111479180851
additional_points,acc_x,SHO_z,-0.6318526032857358
upper_body,acc_x,l_should_z,-0.633394674521952
trunk,acc_x,r_asis_z,-0.6355291643614267
trunk,acc_x,MIDASIS_z,-0.635839900138296
additional_points,acc_x,PO_z,-0.635839900138296
trunk,acc_x,l_asis_z,-0.6362858013081358
trunk,acc_x,sacrum_s_z,-0.6368989453088083
upper_legs,acc_x,r_knee_1_z,-0.6456762265155465
force,acc_y,r_force_x,0.567549050096255
feet,acc_y,r_met_z,-0.5233625102210681
upper_body,acc_y,r_should_z,-0.5280050927547383
head_neck,acc_y,c7_z,-0.5300322439898681
additional_points,acc_y,SHO_z,-0.5302576105843702
upper_body,acc_y,l_should_z,-0.5325498694104048
trunk,acc_y,r_asis_z,-0.5345160081059745
trunk,acc_y,MIDASIS_z,-0.534577757986272
additional_points,acc_y,PO_z,-0.534577757986272
trunk,acc_y,l_asis_z,-0.5346906690952618
trunk,acc_y,sacrum_s_z,-0.5349765099847756
lower_legs,acc_y,r_mall_z,-0.5378820786065962
feet,acc_y,r_heel_z,-0.5387710443300426
upper_legs,acc_y,r_knee_1_z,-0.5563994908415562
feet,acc_z,l_met_z,0.6196638862427217
feet,acc_z,l_heel_z,0.6058125720681863
lower_legs,acc_z,l_mall_z,0.6056956811960034
upper_legs,acc_z,l_knee_1_z,0.5494436952376649
trunk,acc_z,sacrum_s_z,0.5448175092933161
trunk,acc_z,l_asis_z,0.5438313772085798
trunk,acc_z,MIDASIS_z,0.5429854862272155
additional_points,acc_z,PO_z,0.5429854862272155
trunk,acc_z,r_asis_z,0.5421423979603791
upper_body,acc_z,r_should_z,0.5411689352959639
head_neck,acc_z,c7_z,0.5408071183138143
additional_points,acc_z,SHO_z,0.5406831115523947
upper_body,acc_z,l_should_z,0.5400664016393312
upper_legs,acc_z,r_knee_1_z,0.5259881057587285
feet,acc_z,l_met_x,-0.598174167707543
lower_legs,acc_z,l_mall_y,-0.6000267088161261
feet,acc_z,l_heel_y,-0.602905365709587
feet,acc_z,l_heel_x,-0.6489155284673752
lower_legs,acc_z,l_mall_x,-0.6508191091462819
upper_legs,acc_z,l_knee_1_x,-0.6712918632537351
trunk,ang_acc_gyro_x,sacrum_s_z,0.6506179706983414
trunk,ang_acc_gyro_x,l_asis_z,0.6505471946310838
trunk,ang_acc_gyro_x,MIDASIS_z,0.6501493291238579
additional_points,ang_acc_gyro_x,PO_z,0.6501493291238579
trunk,ang_acc_gyro_x,r_asis_z,0.6496057753639596
upper_legs,ang_acc_gyro_x,l_knee_1_z,0.6476696949061348
upper_body,ang_acc_gyro_x,r_should_z,0.6451620601121523
additional_points,ang_acc_gyro_x,SHO_z,0.6447958185788227
upper_legs,ang_acc_gyro_x,r_knee_1_z,0.6446908324856808
head_neck,ang_acc_gyro_x,c7_z,0.6446609792354686
upper_body,ang_acc_gyro_x,l_should_z,0.6444258938157372
lower_legs,ang_acc_gyro_x,l_mall_z,0.6339447330192295
feet,ang_acc_gyro_x,l_heel_z,0.6335555723606332
feet,ang_acc_gyro_x,l_met_z,0.6283950995047242
lower_legs,ang_acc_gyro_x,r_mall_z,0.5939876500706949
feet,ang_acc_gyro_x,r_heel_z,0.5928221283046292
feet,ang_acc_gyro_x,r_met_z,0.5771831209005746
force,ang_acc_gyro_x,r_force_x,-0.5150615967161599
feet,ang_acc_gyro_x,l_met_x,-0.5451877870078561
