group,imu,point,corr
trunk,acc_x,MIDASIS_y,0.5186944503692863
additional_points,acc_x,PO_y,0.5186944503692863
head_neck,acc_x,c7_y,0.5176378834119884
trunk,acc_x,l_asis_y,0.4877944238855806
trunk,acc_x,r_asis_y,0.48773878680890237
feet,acc_x,r_heel_y,0.48367913317957545
lower_legs,acc_x,r_mall_y,0.45618012151802534
feet,acc_x,l_heel_y,0.4453884696302731
additional_points,acc_x,SHO_y,0.4226437700704142
upper_body,acc_x,r_should_y,0.421532290091788
lower_legs,acc_x,l_mall_y,0.4145987753442467
force,acc_x,r_force_z,-0.4647377939546604
force,acc_y,r_force_y,0.4991383602481765
lower_legs,acc_y,l_mall_y,0.4728886102462977
feet,acc_y,l_heel_y,0.4668945860817583
force,acc_y,r_force_x,0.44001418782681545
upper_legs,acc_y,l_knee_1_y,0.41384218062865236
upper_legs,acc_y,r_knee_1_y,-0.42364116398340806
feet,acc_y,r_heel_y,-0.5386183253171869
lower_legs,acc_y,r_mall_y,-0.5731117778858734
head_neck,acc_z,c7_y,0.6231524321174794
additional_points,acc_z,SHO_y,0.6221660326524262
upper_legs,acc_z,l_knee_1_y,0.5866536215509435
trunk,acc_z,MIDASIS_y,0.5838521148235328
additional_points,acc_z,PO_y,0.5838521148235328
trunk,acc_z,r_asis_y,0.5637923623893242
trunk,acc_z,l_asis_y,0.5392107171402475
upper_body,acc_z,l_should_y,0.5012253360888557
trunk,acc_z,sacrum_s_y,0.49431913870970434
upper_body,acc_z,r_should_y,0.4624421698296988
upper_legs,acc_z,r_knee_1_y,0.44413972474670527
upper_legs,gyro_x,r_knee_1_y,0.7572365431833135
feet,gyro_x,r_met_y,0.6189645780056885
force,gyro_x,l_force_z,0.5122930948138468
force,gyro_x,l_force_y,0.4291359105355038
feet,gyro_x,r_met_z,0.414091596609944
feet,gyro_x,r_heel_x,-0.4537594920128241
feet,gyro_x,l_met_y,-0.46470088436214424
lower_legs,gyro_x,r_mall_x,-0.4680645638660948
force,gyro_x,r_force_y,-0.5141752427438963
feet,gyro_x,r_met_x,-0.5649604998952593
force,gyro_x,r_force_x,-0.5791359741729832
upper_legs,gyro_x,l_knee_1_y,-0.6197858175841299
force,gyro_y,r_force_z,-0.4081325017278069
upper_body,gyro_y,l_should_y,-0.44693792754152134
trunk,gyro_y,l_asis_y,-0.570946713154219
trunk,gyro_y,sacrum_s_y,-0.6341631441860652
upper_body,gyro_y,r_should_y,-0.6749828629872693
trunk,gyro_y,MIDASIS_y,-0.6767636092606742
additional_points,gyro_y,PO_y,-0.6767636092606742
head_neck,gyro_y,c7_y,-0.6841155230055991
additional_points,gyro_y,SHO_y,-0.6951266081676754
trunk,gyro_y,r_asis_y,-0.7087897626468949
upper_legs,gyro_y,l_knee_1_y,-0.7297373853097069
upper_legs,gyro_z,l_knee_1_y,0.6865632947484349
force,gyro_z,r_force_x,0.5538778782004496
force,gyro_z,r_force_y,0.5169140380048969
feet,gyro_z,l_met_y,0.49978114457698963
feet,gyro_z,r_met_x,0.4342330142671719
lower_legs,gyro_z,r_mall_x,0.40554787609546955
force,gyro_z,l_force_z,-0.48605792817278276
feet,gyro_z,r_met_y,-0.5392653192876574
upper_legs,gyro_z,r_knee_1_y,-0.5518402311981682
trunk,pitch,l_asis_y,-0.4246012928809191
trunk,pitch,MIDASIS_y,-0.4607324415868217
additional_points,pitch,PO_y,-0.4607324415868217
trunk,pitch,r_asis_y,-0.48693695375771645
upper_body,pitch,r_should_y,-0.5333665073147595
head_neck,pitch,c7_y,-0.538556479062563
additional_points,pitch,SHO_y,-0.546814966274466
trunk,pitch,sacrum_s_y,-0.576649115361231
upper_legs,pitch,l_knee_1_y,-0.8537244997169126
force,roll,l_force_z,0.6507886332166619
upper_legs,roll,r_knee_1_y,0.5143530580582998
upper_body,roll,r_should_y,-0.43776842346004713
lower_legs,roll,r_mall_y,-0.7851517999219475
feet,roll,r_heel_y,-0.815823663632142
lower_legs,yaw,l_mall_y,0.8667269217800021
feet,yaw,l_heel_y,0.8625711283284012
force,yaw,r_force_y,0.504620042559399
force,yaw,l_force_z,0.4922617504878367
additional_points,yaw,SHO_x,-0.4013005487313621
upper_body,yaw,l_should_x,-0.40248666612699024
feet,yaw,l_met_z,-0.4217643171868427
trunk,yaw,MIDASIS_y,-0.43703159165901667
additional_points,yaw,PO_y,-0.43703159165901667
force,yaw,l_force_y,-0.44563315347428434
trunk,yaw,sacrum_s_x,-0.4964957040473608
trunk,yaw,r_asis_y,-0.6184962938935261
force,yaw,r_force_z,-0.6801123797967848
upper_body,yaw,r_should_y,-0.6981396907782254
lower_legs,yaw,r_mall_y,-0.7683478875423063
feet,yaw,r_heel_y,-0.7703697156313672
