Item,Method,Num Clusters,Silhouette Score
pitch_SHO_y_pca,pca,3,0.4145750883994379
pitch_c7_y_pca,pca,3,0.3823618780081979
pitch_sacrum_s_y_pca,pca,3,0.41344791579873996
pitch_l_knee_1_y_pca,pca,3,0.5619490205533707
roll_r_knee_1_y_pca,pca,3,0.6115338301982216
roll_l_force_z_pca,pca,3,0.5593497748489683
roll_r_should_y_pca,pca,3,0.491839032349528
roll_r_mall_y_pca,pca,3,0.6586056500260238
roll_r_heel_y_pca,pca,3,0.6706285977412179
vel_x_c7_z_pca,pca,3,0.5810417161376801
vel_x_sacrum_s_z_pca,pca,3,0.582907158578278
vel_x_l_should_z_pca,pca,3,0.5854725460187425
vel_x_r_should_z_pca,pca,3,0.5780710307042587
vel_x_SHO_z_pca,pca,3,0.5813945549473855
vel_x_r_asis_z_pca,pca,3,0.5830088226025142
vel_x_MIDASIS_z_pca,pca,3,0.5831974321957657
vel_x_PO_z_pca,pca,3,0.5831974321957657
vel_x_l_asis_z_pca,pca,3,0.5836394166373684
vel_x_r_knee_1_z_pca,pca,3,0.6398703957270728
vel_x_l_knee_1_z_pca,pca,3,0.6104984275765365
vel_x_r_mall_z_pca,pca,3,0.6987955396748442
vel_x_l_mall_z_pca,pca,3,0.7120533362590066
vel_x_r_heel_z_pca,pca,3,0.6807668653655633
vel_x_l_heel_z_pca,pca,3,0.7175386938640405
vel_x_l_met_z_pca,pca,3,0.7160850897493903
vel_x_r_met_z_pca,pca,3,0.7180852583160298
vel_x_l_should_y_pca,pca,3,0.508275531956023
vel_x_l_asis_y_pca,pca,3,0.4825988794184842
vel_x_SHO_y_pca,pca,3,0.4405951107654608
vel_x_MIDASIS_y_pca,pca,3,0.4520906711579026
vel_x_PO_y_pca,pca,3,0.4520906711579026
vel_x_r_met_y_pca,pca,3,0.46346500979758287
vel_x_l_force_x_pca,pca,3,0.6726282657736631
vel_x_sacrum_s_y_pca,pca,3,0.38577408270769914
vel_x_r_knee_1_y_pca,pca,3,0.44944225351848777
vel_x_r_force_y_pca,pca,3,0.7095312964571051
vel_x_sacrum_s_x_pca,pca,3,0.5950492929547728
vel_x_r_met_x_pca,pca,3,0.5592017273728799
vel_x_c7_x_pca,pca,3,0.6053804613804349
vel_x_l_should_x_pca,pca,3,0.6020030615961385
vel_x_SHO_x_pca,pca,3,0.6110009717724543
vel_x_l_asis_x_pca,pca,3,0.6149242751906863
vel_x_MIDASIS_x_pca,pca,3,0.6113303266095601
vel_x_PO_x_pca,pca,3,0.6113303266095601
vel_x_r_asis_x_pca,pca,3,0.6422087628394059
vel_x_r_should_x_pca,pca,3,0.6305777541855001
vel_x_l_met_x_pca,pca,3,0.7491434150882735
vel_x_r_heel_x_pca,pca,3,0.5839565425989431
vel_x_r_mall_x_pca,pca,3,0.5961527278497901
vel_x_l_heel_x_pca,pca,3,0.7421663329387935
vel_x_l_mall_x_pca,pca,3,0.708585770965416
vel_x_l_knee_1_x_pca,pca,3,0.647909676456972
vel_x_r_knee_1_x_pca,pca,3,0.607276084929174
vel_y_l_met_z_pca,pca,3,0.7263044749061965
vel_y_l_heel_z_pca,pca,3,0.7248147064530712
vel_y_l_mall_z_pca,pca,3,0.7215178558618842
vel_y_l_knee_1_z_pca,pca,3,0.6459908265457913
vel_y_sacrum_s_z_pca,pca,3,0.5823095417894724
vel_y_l_asis_z_pca,pca,3,0.5889017372632099
vel_y_r_asis_z_pca,pca,3,0.5954351051099943
vel_y_MIDASIS_z_pca,pca,3,0.5839039381767084
vel_y_PO_z_pca,pca,3,0.5839039381767084
vel_y_r_should_z_pca,pca,3,0.6028729873159149
vel_y_c7_z_pca,pca,3,0.5785351253694101
vel_y_SHO_z_pca,pca,3,0.5957963543119714
vel_y_l_should_z_pca,pca,3,0.5923156693119097
vel_y_r_knee_1_z_pca,pca,3,0.5520836248377229
vel_y_r_heel_z_pca,pca,3,0.5006570694614735
vel_y_r_mall_z_pca,pca,3,0.4736344876363777
vel_y_r_force_z_pca,pca,3,0.6099035854293925
vel_y_r_met_z_pca,pca,3,0.4701432168206503
vel_y_sacrum_s_y_pca,pca,3,0.470048041417459
vel_y_r_mall_y_pca,pca,3,0.48453099523919124
vel_y_l_asis_y_pca,pca,3,0.4779984352601928
vel_y_SHO_y_pca,pca,3,0.42535437296267864
vel_y_r_heel_y_pca,pca,3,0.6347644427568878
vel_y_MIDASIS_y_pca,pca,3,0.45566654939560924
vel_y_PO_y_pca,pca,3,0.45566654939560924
vel_y_l_should_y_pca,pca,3,0.4675864296221433
vel_y_l_knee_1_y_pca,pca,3,0.5555510244783973
vel_y_r_asis_y_pca,pca,3,0.457184788949745
vel_y_c7_y_pca,pca,3,0.4574931761314499
vel_y_SHO_x_pca,pca,3,0.5792567868721679
vel_y_r_should_x_pca,pca,3,0.5949513781239697
vel_y_l_should_x_pca,pca,3,0.5676138804097931
vel_y_l_asis_x_pca,pca,3,0.5614804981024442
vel_y_MIDASIS_x_pca,pca,3,0.5802117814248362
vel_y_PO_x_pca,pca,3,0.5802117814248362
vel_y_r_asis_x_pca,pca,3,0.5274103358436677
vel_y_c7_x_pca,pca,3,0.5679129971843044
vel_y_l_heel_y_pca,pca,3,0.6151536154709671
vel_y_r_knee_1_x_pca,pca,3,0.5718236379628483
vel_y_l_met_x_pca,pca,3,0.7220970028328167
vel_y_l_heel_x_pca,pca,3,0.7279469593567801
vel_y_l_knee_1_x_pca,pca,3,0.6503680071191473
vel_y_l_mall_x_pca,pca,3,0.6984566578307928
vel_z_r_knee_1_x_pca,pca,3,0.5847102459758019
vel_z_l_knee_1_x_pca,pca,3,0.6276908640931003
vel_z_l_mall_x_pca,pca,3,0.6972549368244878
vel_z_l_heel_x_pca,pca,3,0.7321150208920406
vel_z_l_met_x_pca,pca,3,0.7430620871405761
vel_z_r_heel_x_pca,pca,3,0.5747447015011051
vel_z_r_mall_x_pca,pca,3,0.5928466346396328
vel_z_r_should_x_pca,pca,3,0.6367230673245701
vel_z_r_asis_x_pca,pca,3,0.6737363749421525
vel_z_SHO_x_pca,pca,3,0.6190031661126766
vel_z_MIDASIS_x_pca,pca,3,0.6154231875311855
vel_z_PO_x_pca,pca,3,0.6154231875311855
vel_z_l_asis_x_pca,pca,3,0.6329516381645348
vel_z_l_should_x_pca,pca,3,0.6123451702782544
vel_z_c7_x_pca,pca,3,0.614982329919188
vel_z_sacrum_s_x_pca,pca,3,0.5747940982397217
vel_z_r_met_x_pca,pca,3,0.5813770226546715
vel_z_r_force_y_pca,pca,3,0.7019829680994284
vel_z_c7_y_pca,pca,3,0.44660878387744085
vel_z_r_met_y_pca,pca,3,0.47657274092008417
vel_z_r_knee_1_y_pca,pca,3,0.4352808140771075
vel_z_l_force_x_pca,pca,3,0.682730250429765
vel_z_MIDASIS_y_pca,pca,3,0.44908661329325006
vel_z_PO_y_pca,pca,3,0.44908661329325006
vel_z_SHO_y_pca,pca,3,0.43216383673652986
vel_z_sacrum_s_y_pca,pca,3,0.3730649634508257
vel_z_l_asis_y_pca,pca,3,0.4806347699896191
vel_z_l_should_y_pca,pca,3,0.5061483629534924
vel_z_r_met_z_pca,pca,3,0.6867972405506828
vel_z_l_met_z_pca,pca,3,0.67964882134483
vel_z_l_heel_z_pca,pca,3,0.6874507434759106
vel_z_r_heel_z_pca,pca,3,0.6559204315770676
vel_z_l_mall_z_pca,pca,3,0.6816079309803478
vel_z_r_mall_z_pca,pca,3,0.672394914208453
vel_z_l_knee_1_z_pca,pca,3,0.6097725642038194
vel_z_r_knee_1_z_pca,pca,3,0.6480527336668064
vel_z_SHO_z_pca,pca,3,0.5801583955261619
vel_z_l_asis_z_pca,pca,3,0.5840108331158193
vel_z_MIDASIS_z_pca,pca,3,0.5839515080026448
vel_z_PO_z_pca,pca,3,0.5839515080026448
vel_z_r_should_z_pca,pca,3,0.5747612318614715
vel_z_r_asis_z_pca,pca,3,0.5871465515941331
vel_z_l_should_z_pca,pca,3,0.585112432800419
vel_z_c7_z_pca,pca,3,0.5754734369944787
vel_z_sacrum_s_z_pca,pca,3,0.5845265836013654
yaw_l_mall_y_pca,pca,3,0.5342129750937009
yaw_l_heel_y_pca,pca,3,0.5578709570477696
yaw_r_force_y_pca,pca,3,0.6263749045526561
yaw_l_force_z_pca,pca,3,0.5228968582477309
yaw_SHO_x_pca,pca,3,0.49783603923935826
yaw_l_should_x_pca,pca,3,0.4902275390472091
yaw_l_met_z_pca,pca,3,0.42537968626341716
yaw_MIDASIS_y_pca,pca,3,0.3854287546856882
yaw_PO_y_pca,pca,3,0.3854287546856882
yaw_sacrum_s_x_pca,pca,3,0.39122849075940447
yaw_r_asis_y_pca,pca,3,0.4564404927096017
yaw_l_force_y_pca,pca,3,0.4775744551618472
yaw_r_should_y_pca,pca,3,0.4871253816438966
yaw_r_force_z_pca,pca,3,0.47355100772544345
yaw_r_heel_y_pca,pca,3,0.5765792012131076
yaw_r_mall_y_pca,pca,3,0.5807190356926144
